name,category,subcategory,mrp,dmart_price,unit
Recron Zest Fibre White Cushion - 41x41 cm : 1 Unit,Uncategorized,,,195.0,
Recron Zest Fibre White Cushion : 2 Units,Uncategorized,,,355.0,2 Pc
Fabrique Orchid Floral Cushion Cover - Multicolour (40x40 cm) Set of 5 : 1 Unit,Personal Care & Beauty,oral,,550.0,
SC Crochet Cushion Cover - Beige : 1 Unit,Uncategorized,,,195.0,
Fabrique Floral Embroidered Cushion Cover (Cream) - 40x40 cm : 1 Unit,Personal Care & Beauty,oral,,250.0,
Fabrique Royal Floral Cushion Cover (Maroon) - 40x40 cm : 1 Unit,Personal Care & Beauty,oral,,120.0,
Pink Parrot Polyester Cushion Cover (D6) - 40X40cm - 5 Units : 1 Unit,Uncategorized,,,550.0,
MHF Velvet Polyester Florance Cushion Cover - Mustard : 5 Units,Uncategorized,,,500.0,
MHF Cushion Cover Festival 06 - Maroon : 1 Unit,Uncategorized,,,125.0,
Fabrique Rainbow Geometrical Cushion Cover (Beige) - 40x40 cm : 1 Unit,Uncategorized,,,250.0,
MHF Cushion Cover Rose Gold 02 - Blue Aqua : 1 Unit,Uncategorized,,,125.0,
Pink Parrot Polyester Diwan Set - Orange & Maroon - 6 Pieces : 1 Unit,Uncategorized,,,1199.0,
SC Crochet Cushion Cover - White : 1 Unit,Uncategorized,,,195.0,
VAA Diamond Cushion Cover - Teal Green (40x40 cm) : 1 Unit,Uncategorized,,,250.0,
MHF Cushion Cover Festival 07 - Beige : 1 Unit,Uncategorized,,,125.0,
Fabrique Sparkle Floral Cushion Cover (Beige) - 40x40 cm : 1 Unit,Personal Care & Beauty,oral,,150.0,
Pink Parrot Polyester Diwan Set - Pink & Rama - 6 Pieces : 1 Unit,Uncategorized,,,1199.0,
VAA Diamond Cushion Cover - Gold (40x40 cm) : 1 Unit,Uncategorized,,,250.0,
MHF Velvet Polyester Florance Cushion Cover - Light Brown : 5 Units,Lighting & Electrical,light,,500.0,
VAA Rainbow Cushion Cover - Dusty Rose (40x40 cm) : 1 Unit,Uncategorized,,,250.0,
MHF Cushion Cover Rose Gold 04 - Coffee Beige : 1 Unit,Uncategorized,,,125.0,
Fabrique Bricks Geometrical Cushion Cover (Maroon) - 40x40 cm : 1 Unit,Uncategorized,,,250.0,
VAA Rainbow Cushion Cover - Beige (40x40 cm) : 1 Unit,Uncategorized,,,250.0,
MHF Cushion Cover Festival-05 - Blue Aqua : 1 Unit,Uncategorized,,,125.0,
MHF Velvet Polyester Florance Cushion Cover - Brown : 5 Units,Uncategorized,,,500.0,
VAA Diamond Cushion Cover - Dusty Rose (40x40 cm) : 1 Unit,Uncategorized,,,250.0,
MHF Cushion Cover Rose Gold 03 - Off-White Beige : 1 Unit,Uncategorized,,,125.0,
Pink Parrot Polyester Cushion Cover (D1) - 40X40cm - 5 Units : 1 Unit,Uncategorized,,,550.0,
Fabrique Sparkle Floral Cushion Cover (Wine) - 40 x 40 cm : 1 Unit,Personal Care & Beauty,oral,,150.0,
VAA Diamond Cushion Cover - Grey (40x40 cm) : 1 Unit,Uncategorized,,,250.0,
Pink Parrot Polyester Cushion Cover (D4) - 40X40cm - 5 Units : 1 Unit,Uncategorized,,,550.0,
Fabrique Sparkle Geometrical Cushion Cover (Grey) - 40 x 40 cm : 1 Unit,Uncategorized,,,150.0,
MHF Cushion Cover Festival 02 - Grey Silver : 1 Unit,Uncategorized,,,125.0,
VAA Diamond Cushion Cover - Maroon (40x40 cm) : 1 Unit,Uncategorized,,,250.0,
MHF Velvet Polyester Florance Cushion Cover - Maroon : 5 Units,Uncategorized,,,500.0,
Fabrique Sparkle Floral Cushion Cover (Beige) - 40 x 40 cm : 1 Unit,Personal Care & Beauty,oral,,150.0,
Fabrique Sparkle Floral Cushion Cover (Brown) - 40 x 40 cm : 1 Unit,Personal Care & Beauty,oral,,150.0,
VAA Rainbow Cushion Cover - Royal Blue (40x40 cm) :1 Unit,Uncategorized,,,250.0,
Fabrique Wave Geometrical Cushion Cover (Blue) - 40 x 40 cm : 1 Unit,Uncategorized,,,200.0,
Pink Parrot Polyester Cushion Cover (D8) - 40X40cm - 5 Units : 1 Unit,Uncategorized,,,550.0,
