product name,Price_discount,Price_original,Details
Onion 1 kg (Pyaz),₹ 40,₹ 50,
Desi Tomato (Tamatar),₹ 19,₹ 25,
Red Carrot (Gajar),₹ 15,₹ 20,500 g
Ginger (Adrak),₹ 37,₹ 49,200 g
Green Chilli (Hari Mirch),₹ 11,₹ 14,100 g
Green Peas (Matar),₹ 21,₹ 27,
Green Capsicum (Shimla Mirch),₹ 27,₹ 34,250 g
Potato - New Crop (Aloo),₹ 18,₹ 24,
Hybrid Tomato (Tamatar),₹ 20,₹ 26,
Lemon (Nimbu),₹ 33,₹ 45,250 g - 300 g
Button Mushroom,₹ 39,₹ 49,180 g - 200 g
English Cucumber (Kheera),₹ 23,₹ 29,500 g - 600 g
French Beans,₹ 14,₹ 18,250 g
Lady Finger (Bhindi) (Bhindi),₹ 28,₹ 35,250 g
Green Cucumber (Kheera),₹ 21,₹ 28,500 g
Cabbage (Patta Gobhi),₹ 15,₹ 19,1 piece (400 g - 600 g)
Garlic (Lehsun),₹ 87,₹ 113,200 g
Beetroot (Chukandar),₹ 17,₹ 23,500 g -600 g
Sweet Potato (Shakarkandi),₹ 77,₹ 103,500 g - 700 g
Bitter Gourd (Karela),₹ 26,₹ 33,250 g
Potato - New Crop + Desi Tomato + Onion - 1 kg Combo,₹ 76,₹ 99,1 kg + 500 g + 1 kg
Broad Beans (Sem Phali),₹ 17,₹ 22,250 g
Baby Potato (Aloo),₹ 13,₹ 17,500 g
Potato - New Crop + Hybrid Tomato + Onion - Combo,₹ 77,₹ 100,1 kg + 500 g + 1 kg
Matar Paneer Combo,₹ 174,₹ 229,250 g + 200 g + 500 g + 100 g + 200 g
Colocasia (Arvi),₹ 34,₹ 43,250 g - 300 g
Picador Chilli (Achari Mirch),₹ 21,₹ 28,250 g
Corn Cob (Bhutta),₹ 23,₹ 31,
Raw Turmeric (Kachhi Haldi),₹ 26,₹ 33,250 g
Baby Onion (Sirka Pyaz),₹ 13,₹ 17,250 g
Ivy Gourd (Kundru),₹ 27,₹ 37,250 g
Tomato Soup - Combo,₹ 50,₹ 68,500 g + 500 g + 500 g -600 g
Drumstick (Sahjan),₹ 47,₹ 60,250 g
Mushroom Soup - Combo,₹ 164,₹ 212,180 g - 200 g + 1 kg + 200 g
Lotus Stem (Kamal Kakdi),₹ 34,₹ 47,250 g
Detox Juice Combo,₹ 113,₹ 212,500 g + 200 g + 250 g - 300 g + 100 g
Ginger - Organically grown (Adrak),₹ 37,₹ 48,100 g
Broccoli,₹ 40,₹ 53,300 g - 400 g
Coriander Bunch (Dhaniya Patta),₹ 12,₹ 16,100 g
