product_id,title,brand,description,category_main,category_sub,price_mrp,price_selling,discount_percentage,discount_amount,quantity,unit,unit_price,stock_count,is_available,status,image_url,product_url,created_at,updated_at
,,,,Uncategorized,,199.0,199.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2999.0,2999.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1999.0,1999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2499.0,2499.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,999.0,999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,3999.0,3999.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,3499.0,3499.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,4999.0,4999.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,2999.0,2999.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,2849.0,2849.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2899.0,2899.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2199.0,2199.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1999.0,1999.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1999.0,1999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2249.0,2249.0,,,1 Unit,,,False,,,,,,0.0
,,,,Lighting & Electrical,light,899.0,899.0,,,,,,False,,,,,,0.0
,,,,Uncategorized,,1799.0,1799.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2999.0,2999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,799.0,799.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1499.0,1499.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,4499.0,4499.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,699.0,699.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,2999.0,2999.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,1299.0,1299.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,699.0,699.0,,,1 Unit,,,False,,,,,,0.0
,,,,Uncategorized,,499.0,499.0,,,1 Unit,,,False,,,,,,0.0
