name,category,subcategory,mrp,dmart_price,unit
Brodees TriColour Printed Round Neck T-Shirt : 42 Size,Uncategorized,,399.0,399.0,
Brodees TriColour Printed Round Neck T-Shirt : 40 Size,Uncategorized,,399.0,399.0,
Brodees TriColour Printed Round Neck T-Shirt : 44 Size,Uncategorized,,399.0,399.0,
No Fuss Men's Cotton Vest Sleeveless - 80 cm (S) : 2 Pieces,Clothing,men,215.0,215.0,
No Fuss Men's Cotton Vest Sleeveless - 85 cm (M) : 2 Pieces,Clothing,men,185.0,185.0,
No Fuss Men's Cotton Vest Sleeveless - 90 cm (L) : 2 Pieces,Clothing,men,185.0,185.0,
No Fuss Men's Cotton Vest Sleeveless - 95 cm (XL) : 2 Pieces,Clothing,men,185.0,185.0,
Macho Men's Metro Vest White RN - 80 cm (S) : 2 Pieces,Clothing,men,284.0,284.0,
Macho Men's Metro Vest White RN - 85 cm (M) : 2 Pieces,Clothing,men,278.0,278.0,
Macho Men's Metro Vest White RN - 90 cm (L) : 2 Pieces,Clothing,men,278.0,278.0,
Macho Men's Metro Vest White RN - 95 cm (XL) : 2 Pieces,Clothing,men,318.0,318.0,
VIP Bonus Premium Round Neck Cotton Men's Vest - 100cm (XXL): 2 Piece,Clothing,men,312.0,312.0,
Rupa Frontline Round Neck Men's Vest - 80 cm (S) - White : 2 Piece,Clothing,men,270.0,270.0,
Dutch Harbor Men's Vest Rib Sleeveless - XL (95 cm) : 2 Pieces,Clothing,men,360.0,360.0,
VIP Array Round Neck Men's White Vest - 80cm (S): 2 Piece,Clothing,men,290.0,290.0,
Rupa Frontline Round Neck Sleeve Men's Vest - 80 cm (S) - White : 2 Piece,Clothing,men,330.0,330.0,
Rupa Jon Round Neck Sleeve Men's Vest - 80 cm (S) - White: 3 Piece,Clothing,men,354.0,354.0,
Rupa Jon Folding Round Neck Sleeve Men's Vest - 80 cm (S) - White: 3 Piece,Clothing,men,354.0,354.0,
Rupa Jon Folding Round Neck Men's Vest - 80 cm (S) - White: 2 Piece,Clothing,men,178.0,178.0,
Rupa Frontline Xing Men's Vest - 85 cm (M) : 2 Pieces,Clothing,men,286.0,286.0,
Dutch Harbor Men's Vest Rib Sleeveless - S (80 cm) : 2 Pieces,Clothing,men,429.0,429.0,
Dutch Harbor Men's Vest Rib Sleeveless - M (85 cm) : 2 Pieces,Clothing,men,429.0,429.0,
Dutch Harbor Men's Vest Rib Sleeveless - L (90 cm) : 2 Pieces,Clothing,men,429.0,429.0,
Rupa Frontline Round Neck Men's Vest - 80 cm (S) - White: 3 Piece,Clothing,men,414.0,414.0,
Rupa Jon Round Neck Men's Vest - 80 cm (S) - White: 3 Piece,Clothing,men,270.0,270.0,
Macho Multicolour Brief Smart Cut - 80 cm (S) : 2 Pieces,Uncategorized,,266.0,266.0,
Macho Multicolour Brief Smart Cut - 85 cm (M) : 2 Pieces,Uncategorized,,260.0,260.0,
Macho Multicolour Brief Smart Cut - 90 cm (L) : 2 Pieces,Uncategorized,,260.0,260.0,
Macho Multicolour Brief Smart Cut - 95 cm (XL) : 2 Pieces,Uncategorized,,286.0,286.0,
Macho Multicolour Brief Smart Cut - 100 cm (XXL) : 2 Pieces,Uncategorized,,286.0,286.0,
VIP Frenchie Plus Men's Brief 100cm (XXL): 2 Piece,Clothing,men,255.0,255.0,
Rupa Frontline Colors Men's Trunk - 80 cm (S) - Blue & Wine : 2 Piece,Clothing,men,381.0,381.0,
VIP Punch Plain Men's Trunk - 80cm (S) - Assorted: 1 Piece,Clothing,men,165.0,165.0,
Macho Multicolour Intro Long Trunk - 80 cm (S) : 1 Piece,Uncategorized,,196.0,196.0,
Macho Multicolour Intro Long Trunk - 85 cm (M) : 1 Piece,Uncategorized,,193.0,193.0,
Macho Multicolour Intro Long Trunk - 90 cm (L) : 1 Piece,Uncategorized,,193.0,193.0,
Macho Multicolour Intro Long Trunk - 100 cm (XXL) : 1 Piece,Uncategorized,,213.0,213.0,
VIP Elements Men's Trunk - 80cm (S) - Assorted: 2 Piece,Clothing,men,350.0,350.0,
Rupa Frontline Colors Men's Trunk - 80 cm (S) - Teal Green & Brown : 2 Piece,Clothing,men,381.0,381.0,
VIP Brando Plain Trunk - 80cm (S) - Assorted: 1 Piece,Uncategorized,,150.0,150.0,
Macho Printed Mini Men's Trunk - 85 cm (M) : 1 Piece,Clothing,men,186.0,186.0,
Macho Printed Mini Men's Trunk - 90 cm (L) : 1 Piece,Clothing,men,186.0,186.0,
Macho Printed Mini Men's Trunk - 95 cm (XL) : 1 Piece,Clothing,men,206.0,206.0,
Rupa Frontline Colors Men's Brief - 80 cm (S) - Blue & Olive Green : 2 Piece,Clothing,men,331.0,331.0,
Rupa Frontline Colors Men's Trunk - 80 cm (S) - Blue & Black : 2 Piece,Clothing,men,381.0,381.0,
Rupa Frontline Colors Men's Brief - 80 cm (S) - Teal Green & Brown : 2 Piece,Clothing,men,331.0,331.0,
Rupa Frontline DRAW Men's Trunk - 85 cm (M) : 1 Piece,Clothing,men,186.0,186.0,
Rupa Frontline DRAW Men's Trunk - 90 cm (L) : 1 Piece,Clothing,men,186.0,186.0,
VIP Advanta White Men's Trunk - 80cm (S) - Assorted: 1 Piece,Clothing,men,185.0,185.0,
Rupa Jon Obama Men's Brief - 80 cm (S) : 3 Piece,Clothing,men,318.0,318.0,
Rupa Frontline Expando Men's Brief - 85 cm (M) : 2 Pieces,Clothing,men,254.0,254.0,
Rupa Frontline Expando Men's Brief - 90 cm (L) : 2 Pieces,Clothing,men,254.0,254.0,
Rupa Jon Aceoe Men's Trunk - 100 cm (XXL) - Navy & Grey Melange : 2 Piece,Clothing,men,311.0,311.0,
No Fuss Men's Shorts Combo D02 (M) : 2 Units,Clothing,men,429.0,429.0,
No Fuss Men's Shorts Combo With Side Pockets - D01 (S) : 2 Units,Clothing,men,350.0,350.0,
Dutch Harbor Gent's Hanky - White : 6 Pieces,Uncategorized,,249.0,249.0,
No Fuss Men's Crew Socks : 5 Units,Clothing,men,250.0,250.0,
No Fuss Gent's Hanky - White : 6 Pieces,Uncategorized,,169.0,169.0,
No Fuss Men's Ankle Socks : 3 Units,Clothing,men,169.0,169.0,
No Fuss Men's Sneaker Socks : 3 Units,Clothing,men,169.0,169.0,
No Fuss Gent's Hanky - Multicolour : 6 Pieces,Uncategorized,,199.0,199.0,
No Fuss Men's Sports Ankle Socks : 3 Units,Clothing,men,225.0,225.0,
Dutch Harbor Gent's Hanky - Multicolour : 6 Pieces,Uncategorized,,275.0,275.0,
No Fuss Gent's Hanky - White/Blue : 6 Pieces,Uncategorized,,149.0,149.0,
No Fuss Men's Loafer Socks : 3 Units,Clothing,men,169.0,169.0,
FNF Crossline Men's Hanky - Multicolour : 3 Pieces,Clothing,men,180.0,180.0,3 Pc
No Fuss Men's Loafer Socks - D2 : 3 Units,Clothing,men,169.0,169.0,
In Shape Ladies Inner Elastic Hipster Panties - C - 90 cm : 3 Pieces,Uncategorized,,450.0,450.0,90 cm
In Shape Ladies Inner Elastic Hipster Panties - B - 90 cm : 3 Pieces,Uncategorized,,450.0,450.0,90 cm
In Shape Ladies Inner Elastic Hipster Panties 8752 (85 cm) - 3 Pieces : 1 Unit,Uncategorized,,450.0,450.0,85 cm
In Shape Ladies Inner Elastic Hipster Panties 8772 (85 cm) - 3 Pieces : 1 Unit,Uncategorized,,450.0,450.0,85 cm
In Shape Ladies Inner Elastic Hipster Panties 8782 (85 cm) - 3 Pieces : 1 Unit,Uncategorized,,450.0,450.0,85 cm
In Shape Ladies Inner Elastic Hipster Panties 2117 (85 cm) - 3 Pieces : 1 Unit,Uncategorized,,450.0,450.0,85 cm
No Fuss Women's Sneaker Toe Socks : 3 Units,Clothing,men,175.0,175.0,
No Fuss Women's Hanky - Multicolour : 6 Pieces,Clothing,men,99.0,99.0,
No Fuss Women's Hanky - White : 6 Pieces,Clothing,men,99.0,99.0,
No Fuss Women's Thermal Thumb Socks : 3 Units,Clothing,men,175.0,175.0,
No Fuss Women's Loafer Socks : 3 Units,Clothing,men,175.0,175.0,
No Fuss Women's Loafer Socks - D2 : 3 Units,Clothing,men,175.0,175.0,
Brodees TriColour Dupatta : 1 Unit,Uncategorized,,199.0,199.0,
Misswish Women's Printed Sling Bag - Brown : 1 Unit,Bags & Accessories,bag,850.0,850.0,
Misswish Women's Printed Laptop Bag - Brown : 1 Unit,Bags & Accessories,bag,1550.0,1550.0,
Misswish Women's Leather Hand Bag - Tan : 1 Unit,Bags & Accessories,bag,1200.0,1200.0,
