name,mrp,our_price,category,subcategory,unit,discount,quantity,unit_price,product_url,sub-category,image,status,stock_count,is_dmart_exclusive,productid,brand,imageurl,isavailable,createdat,updatedat,details
Tigi Earphone With Mic : 1 Unit,199.0,199.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics Smart Twins Bluetooth Earbuds S5 - White : 1 Unit,2999.0,2999.0,Uncategorized,,,,,,,,,,,,,,,,,,
Hapipola Mystic Neck Band - Black : 1 Unit,1999.0,1999.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics Sounddrum-1 Bluetooth 10W Speaker : 1 Unit,2499.0,2499.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Hapipola Airpro Type C Earphone - White : 1 Unit,999.0,999.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Nu Republic Party Box 160 Bluetooth Speaker 16W - Black : 1 Unit,3999.0,3999.0,Uncategorized,,,,,,,,,,,,,,,,,,
Nu Republic Epic X3 Wireless Earbuds - Blue : 1 Unit,3499.0,3499.0,Uncategorized,,,,,,,,,,,,,,,,,,
Hapipola Slider Bluetooth Speaker - Black : 24 W,4999.0,4999.0,Uncategorized,,,,,,,,,,,,,,,,,,
Nu Republic Dubstep Buzz X5 Wireless Earbuds - Black + Yellow : 1 Unit,2999.0,2999.0,Uncategorized,,,,,,,,,,,,,,,,,,
Zebronics Sound Bomb S1-Wireless Earbud : 1 Unit,2849.0,2849.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Mobilla MBUDS 533 TWS Earbuds (IPX4) - White : 1 Unit,2899.0,2899.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Mobilla MBUDS 109 TWS Earbuds (IPX4) - Blue : 1 Unit,2199.0,2199.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Hapipola Adventure Bluetooth Speaker - Black : 5W,1999.0,1999.0,Uncategorized,,,,,,,,,,,,,,,,,,
Portronics Buzz Portable Bluetooth 5W Speaker : 1 Unit,1999.0,1999.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Artis Bt09 Portable Wireless Bluetooth Speaker : 1 Unit,2249.0,2249.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Zebronics Delight Bluetooth Speaker : 3 W,899.0,899.0,Lighting & Electrical,light,,,,,,,,,,,,,,,,,
Ambrane Dots XS Wireless Earphones : 1 Unit,1799.0,1799.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics Pixel Portable Bluetooth 8W Speaker : 1 Unit,2999.0,2999.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Zebronics Storm Headphone With Mic : 1 Unit,799.0,799.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Ambrane Bassband Beat Bluetooth Earphones : 1 Unit,1499.0,1499.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Artis MS301 Portable Wireless Bluetooth Speaker : 1 Unit,4499.0,4499.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics Modesk Mobile Stand : 1 Unit,699.0,699.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics My Buddy K2 Laptop Stand : 1 Unit,2999.0,2999.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics Buddy Hexa22 Laptop Stand : 1 Unit,1299.0,1299.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Mobilla Car Smart Phone Holder (MGRIP X) - Black : 1Unit,699.0,699.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Portronics Dual Micro USB 12 W Car Charger (Black) - POR-1345 : 12 W,499.0,499.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Mobilla Bike Mobile Phone Holder (MGRIP Y1) - Black : 1 Unit,799.0,799.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Mobilla Mobile & Tablet Stand (MGRIP Z1) - Black : 1 Unit,699.0,699.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Hapipola Speed Wireless Mouse - White : 1 Unit,1999.0,1999.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Zebronics Power+ Optical Mouse : 1 Unit,299.0,299.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
Usha EI1602 Electric Iron : 1000 W,1390.0,1390.0,Uncategorized,,,,,,,,,,,,,,,,,,
Crompton Greaves Rhino Heavy Weight Iron : 1000 W,1550.0,1550.0,Uncategorized,,,,,,,,,,,,,,,,,,
Jaipan Aqua Iron (Aqua Blue) - 1000 W : 1 Unit,1295.0,1295.0,Uncategorized,,,,,,,,,,,,,,,,,,
Hamilton Beach Professional Garment Steamer (Black) - 1740 W : 1 Unit,6999.0,6999.0,Clothing,men,1 Unit,,,,,,,,,,,,,,,,
Bajaj MX35N Steam Iron : 2000 W,3800.0,3800.0,Uncategorized,,,,,,,,,,,,,,,,,,
Usha Aurora Dry Iron - 1000 W : 1 Unit,1490.0,1490.0,Uncategorized,,1 Unit,,,,,,,,,,,,,,,,
