name,category,sub-category,price,unit,image,status,stock_count
ProV Select California Almonds : 1 kg,Grocery,Dry Fruits,1349,1 kg,/api/placeholder/200/200,active,100
Prov Independence California Almonds : 500 gms,Grocery,Dry Fruits,749,500 g,/api/placeholder/200/200,active,100
Badam (Almonds) : 500 gms,,Dry Fruits,577,500 g,/api/placeholder/200/200,active,100
Chana Dal (Senaga pappu) : 500 gms,,Dals & Pulses,81,500 g,/api/placeholder/200/200,active,100
,,,,,,,
Wonderland California Almonds : 500 gms,,Dry Fruits,725,500 g,/api/placeholder/200/200,active,100
,,,,,,,
Healthy Choice Unpolished Chana Dal (Senaga pappu) : 1 kg,,Dals & Pulses,171,1 kg,/api/placeholder/200/200,active,100
Nutraj Almond : 200 gms,,Dry Fruits,299,200 g,/api/placeholder/200/200,active,100
Happilo Californian Almonds : 500 gms,,Dry Fruits,675,500 g,/api/placeholder/200/200,active,100
Tata Sampann 100% Organic Unpolished Chana Dal (Senaga pappu) : 1 kg,,Dals & Pulses,260,1 kg,/api/placeholder/200/200,active,100
Tenali Double Horse Chana Dall : 500 gms,,Dals & Pulses,80,500 g,/api/placeholder/200/200,active,100
Ziofit Popular Californian Almonds : 500 gms,,Dry Fruits,625,500 g,/api/placeholder/200/200,active,100
Organic Tattva Chana Dal : 500 gms,,Dals & Pulses,120,500 g,/api/placeholder/200/200,active,100
Happilo Roasted California Almond : 200 gms,,Dry Fruits,335,200 g,/api/placeholder/200/200,active,100
Happilo California Natural Almonds : 200 gms,,Dry Fruits,275,200 g,/api/placeholder/200/200,active,100
VSR Channa Dal (Senaga pappu) : 1 kg,,Dals & Pulses,168,1 kg,/api/placeholder/200/200,active,100
VSR Chana Dal (Senaga pappu) : 500 gms,,Dals & Pulses,85,500 g,/api/placeholder/200/200,active,100
,,,,,,,
Moong Dal (Pesara Pappu) : 1 kg,,Dals & Pulses,174,1 kg,/api/placeholder/200/200,active,100
Nutraj Cashews : 500 gms,,Dry Fruits,699,500 g,/api/placeholder/200/200,active,100
Tata Sampann Moong Dal (Pesara Pappu) : 1 kg,,Dals & Pulses,215,1 kg,/api/placeholder/200/200,active,100
Nutraj Cashew Nuts : 1 kg,,Dry Fruits,1499,1 kg,/api/placeholder/200/200,active,100
Regular Kaju (Cashews) - 320 : 500 gms,,Dry Fruits,724,500 g,/api/placeholder/200/200,active,100
Kalbavi Popular Cashews : 500 gms,,Dry Fruits,649,500 g,/api/placeholder/200/200,active,100
Moong Dal Chilti (Pesara Pappu) : 1 kg,,Dals & Pulses,177,1 kg,/api/placeholder/200/200,active,100
ProV Select Cashews : 500 gms,,Dry Fruits,849,500 g,/api/placeholder/200/200,active,100
,,,,,,,
,,,,,,,
,,,,,,,
Kaju Tukda (Cashews) : 200 gms,,Dry Fruits,376,200 g,/api/placeholder/200/200,active,100
Tata Sampann Moong Chilka (Pesara Pappu) : 500 gms,,Flours & Grains,99,500 g,/api/placeholder/200/200,active,100
Healthy Choice Unpolished Moong Dal (Pesara Pappu) : 1 kg,,Dals & Pulses,195,1 kg,/api/placeholder/200/200,active,100
Tata Sampann Unpolished Green Moong (Pesara Pappu) : 500 gms,,Flours & Grains,98,500 g,/api/placeholder/200/200,active,100
Wonderland Cashews : 500 gms,,Dry Fruits,770,500 g,/api/placeholder/200/200,active,100
Kalbavi Cashews (Kaju) : 500 gms,,Dry Fruits,699,500 g,/api/placeholder/200/200,active,100
Happilo Whole Cashew Nuts : 500 gms,,Dry Fruits,995,500 g,/api/placeholder/200/200,active,100
,,,,,,,
Tata Sampann 100% Organic Unpolished Moong Dal (Pesara Pappu) : 1 kg,,Dals & Pulses,290,1 kg,/api/placeholder/200/200,active,100
Organic Tattva Moong Dal Yellow Split : 1 kg,,Dals & Pulses,310,1 kg,/api/placeholder/200/200,active,100
,,,,,,,
Kaju (Cashews) - 210 : 200 gms,,Dry Fruits,452,200 g,/api/placeholder/200/200,active,100
Organic Tattva Moong Dal Whole : 500 gms,,Dals & Pulses,145,500 g,/api/placeholder/200/200,active,100
24 Mantra Organic Moong Dal (Pesara Pappu) : 500 gms,,Dals & Pulses,170,500 g,/api/placeholder/200/200,active,100
Tenali Double Horse Moong Dall : 500 gms,,Dals & Pulses,85,500 g,/api/placeholder/200/200,active,100
Happilo Roasted Cashew Nuts : 200 gms,,Dry Fruits,465,200 g,/api/placeholder/200/200,active,100
VSR Moong Dal (Pesara Pappu) : 500 gms,,Dals & Pulses,110,500 g,/api/placeholder/200/200,active,100
,,,,,,,
