name,category,subcategory,mrp,dmart_price,unit
Beezy Stainless Steel Push Chopper : 1 Unit,Uncategorized,,448.0,448.0,1 Unit
Sealing Clip Bag : 12 Units,Bags & Accessories,bag,66.0,66.0,12 Unit
Crystal Stainless Steel Oil Pourer : 500 ml,Uncategorized,,445.0,445.0,500 ml
Crystal Stainless Steel Oil Pourer : 1 Litre,Uncategorized,,595.0,595.0,
Prestige Gas Lighter With Knife : 1 Unit,Lighting & Electrical,light,145.0,145.0,1 Unit
Bamboo Chopping Board (35 x 25 x 1.5 cm) : 1 Unit,Lighting & Electrical,pin,260.0,260.0,5 cm
Stainless Steel Tea Strainer : 1 Unit,Uncategorized,,69.0,69.0,1 Unit
Pigeon Handy Chopper Pro Mini - 400 ml : 1 Unit,Uncategorized,,695.0,695.0,1 Unit
Joyo Oil Can - Blue : 1 Litre,Uncategorized,,149.0,149.0,1 Unit
Anjali Gas Round Trolley - Super : 1 Unit,Bags & Accessories,trolley,225.0,225.0,1 Unit
Anjali Stainless Steel Gas Lighter Dura : 1 Unit,Lighting & Electrical,light,150.0,150.0,1 Unit
Anjali Kitchen Express Gripper (Chakli Maker) - 12 Jalis : 1 Unit,Home Decor,kitchen,695.0,695.0,1 Unit
Pigeon Rechargeable Zoom Chopper - 350 ml : 1 Unit,Uncategorized,,1495.0,1495.0,1 Unit
Pigeon Stainless Steel Knife Set : 3 Pieces,Uncategorized,,545.0,545.0,3 pc
Crystal Electric Gas Lighter :1 Unit,Lighting & Electrical,light,220.0,220.0,1 Unit
Beezy Brass Chakli Sancha with 6 Jalis (Chakli Maker) : 1 Unit,Uncategorized,,1183.0,1183.0,1 Unit
Stainless Steel Masala Spice Box : 1 Unit,Uncategorized,,570.0,570.0,1 Unit
Beezy Aluminium Puri Press No.5 : 1 Unit,Uncategorized,,1185.0,1185.0,1 Unit
D Homes Scissor Set (Jinda) : 2 Pieces,Uncategorized,,110.0,110.0,2 pc
Silicon Kitchen Spatula & Brush Tool : 1 Set,Cleaning Tools,brush,110.0,110.0,
Command Clear Décor Clips : 20 Pieces,Uncategorized,,275.0,275.0,20 pc
Bamboo Chopping Board (33 x 24 x 1.4 cm) : 1 Unit,Lighting & Electrical,pin,250.0,250.0,1 Unit
Stainless Steel Grill Jali With Wooden Handle : 1 Unit,Uncategorized,,129.0,129.0,1 Unit
Command Small Wire Hooks : 3 Pieces,Uncategorized,,169.0,169.0,3 pc
Anjali Kitchenware Utility Set Super : 3 Pieces,Home Utility & Organisers,utility,225.0,225.0,3 pc
Elephant stainless steel Atta/Maida(With Joint) Chani (20 Cm) : 1 Unit,Uncategorized,,249.0,249.0,1 Unit
Nova Stainless Steel Baby Spoon Set : 6 Units,Uncategorized,,149.0,149.0,6 Unit
Beezy Gas Lighter Peeler & Knife : 3 Units,Lighting & Electrical,light,109.0,109.0,3 Unit
Crystal Xpress Pull N Chopper Mini : 1 Unit,Uncategorized,,495.0,495.0,1 Unit
Unistar Stainless Steel Sink Strainer : 1 Unit,Uncategorized,,119.0,119.0,1 Unit
Aluminium Cake Baking Mould - Assorted Shapes : 1 Unit,Uncategorized,,140.0,140.0,1 Unit
Indigo Metalware Plastic Soap Dispenser - Natural : 1 Unit,Uncategorized,,499.0,499.0,1 Unit
Anjali Stainless Steel Gas Trolley : 1 Unit,Bags & Accessories,trolley,450.0,450.0,1 Unit
Bamboo Chopping Board (28 x 20 x 0.9 cm) : 1 Unit,Lighting & Electrical,pin,135.0,135.0,9 cm
Bamboo Chopping Board (26 x 16 x 0.9 cm) : 1 Unit,Lighting & Electrical,pin,110.0,110.0,9 cm
Gokul Stainless Steel Fancy Water Jug : 1.5 Litres,Uncategorized,,500.0,500.0,
Veer Stainless Steel Bidding Tope Set : 3 Units,Uncategorized,,369.0,369.0,3 Unit
Om White Polpat (Roti Roller / Chakla) : 1 Unit,Uncategorized,,250.0,250.0,1 Unit
Indigo Metalware Stainless Steel Butter Dish : 250 ml,Uncategorized,,248.0,248.0,250 ml
Beezy Adjustable Slicer - Balck : 1 Unit,Uncategorized,,340.0,340.0,1 Unit
Elephant Stainless Steel Oil Frying Strainer & Serving Tong  : 1 Unit,Uncategorized,,209.0,209.0,1 Unit
Stainless Steel Cloth Clip : 1 Unit,Clothing,cloth,130.0,130.0,1 Unit
Beezy Stainless Steel Ice Cream Scoop : 1 Unit,Uncategorized,,275.0,275.0,1 Unit
Elephant stainless steel Multi Purpose Fridge Basket (25 Cm) : 1 Unit,Uncategorized,,1449.0,1449.0,1 Unit
Stainless Steel Round Table Ring : 1 Unit,Uncategorized,,49.0,49.0,1 Unit
Anjali Coconut Scraper - Sleekmate : 1 Unit,Uncategorized,,425.0,425.0,1 Unit
Unistar Stainless Steel Heavy Accord Tea Strainer : 1 Unit,Uncategorized,,49.0,49.0,1 Unit
Wonderchef Nutri-Blend Mixer - Black : 400 W,Uncategorized,,5300.0,5300.0,
Crystal Stainless Steel Small Strainer : 1 Unit,Uncategorized,,160.0,160.0,1 Unit
Anjali Tadkavati Wire Handle (No. 5) : 1 Unit,Uncategorized,,265.0,265.0,1 Unit
Command Micro Hooks : 3 Pieces,Uncategorized,,99.0,99.0,3 pc
Steel Chakali Sancha : 1 Unit,Uncategorized,,449.0,449.0,1 Unit
Wonderchef Glory Stainless Steel 6 Blade String Chopper : 900 ml,Uncategorized,,800.0,800.0,900 ml
Princeware Maharaja Storage Plastic Basket (Pink) : 1 Unit,Home Utility & Organisers,storage,518.0,518.0,1 Unit
Indigo Metalware Stainless Steel Oil Funnel : 1 Unit,Uncategorized,,344.0,344.0,1 Unit
D Homes 10 Pieces Egg Saver Box - Assorted : 1 Unit,Uncategorized,,100.0,100.0,1 Unit
Joyo Knit Masala Box - Brown : 1 Unit,Uncategorized,,289.0,289.0,1 Unit
Crystal Stainless Steel Fine Grater : 1 Unit,Uncategorized,,150.0,150.0,1 Unit
Joyo Cooking Oil Dispenser : 1 Litre,Uncategorized,,100.0,100.0,
Anjali Manual Hand Juicer Ras Dhara : 1 Unit,Uncategorized,,649.0,649.0,1 Unit
Indigo Metalware Multi Use Stainless Steel Fruit & Vegetable Basket : 1 Unit,Uncategorized,,299.0,299.0,1 Unit
Beezy Mug Jumbo 400Ml With Lid - Red : 1 unit,Uncategorized,,299.0,299.0,1 Unit
Indigo Metalware Marble Pestel (khalbatta)  : 1 Unit,Uncategorized,,559.0,559.0,1 Unit
Scotch Multi-purpose Scissors : 1 Unit,Uncategorized,,229.0,229.0,1 Unit
Femora Borosilicate Glass Oil Dispenser With Stainless Steel Lid : 500 ml,Pet Supplies,cat,600.0,600.0,500 ml
Crystal Stainless Steel Pizza Cutter : 1 Unit,Uncategorized,,170.0,170.0,1 Unit
Bergner Renberg Knife Set (Black) - 6 Pieces : 1 Unit,Uncategorized,,595.0,595.0,1 Unit
Indigo Metalware Stainless Steel Serving  Spoons Coper Hammered Handle : 3 Piece,Uncategorized,,657.0,657.0,3 pc
Indigo Metalware Oregano & Chilli Flakes Dispenser - Natural : 2 Pieces,Uncategorized,,163.0,163.0,1 Unit
Priya Stainless Steel Round Kitchen 2 Step Basket Trolley : 1 Unit,Bags & Accessories,trolley,2500.0,2500.0,1 Unit
HAZEL Cooker Separator With Lifter (2x500 ml) - Set of 2 Containers : 1 Unit,Uncategorized,,1179.0,1179.0,1 Unit
Elephant stainless steel Multi Utility Basket (25.5 X 34.5 Cm) : 1 Unit,Home Utility & Organisers,utility,839.0,839.0,1 Unit
Steel Puri Jhara : 1 Unit,Uncategorized,,88.0,88.0,1 Unit
Joyo Knit Masala Box - Sky Dark Grey : 1 Unit,Uncategorized,,289.0,289.0,1 Unit
Beezy Stainless Steel Pavbhaji Mesher Dlx : 1 Unit,Uncategorized,,200.0,200.0,1 Unit
Kvg Gas Cleaning Brush - Set Of 3 : 1 Unit,Cleaning Tools,cleaning,110.0,110.0,
Anjali Stainless Steel Medu Wada Maker : 1 Unit,Uncategorized,,345.0,345.0,1 Unit
Command Medium Designer Hooks : 2 Pieces,Uncategorized,,199.0,199.0,2 pc
Steel Lemon Squeezer : 1 Unit,Uncategorized,,390.0,390.0,1 Unit
Joyo Fridge Storage Tray : 1 Unit,Home Utility & Organisers,storage,86.0,86.0,1 Unit
Crystal Cut Peel & Slice 3 Pcs (Value Pack) : 1 Units,Uncategorized,,210.0,210.0,1 Unit
Elephant stainless steel Sink Basket (34 X 22 Cm) : 1 Unit,Uncategorized,,1670.0,1670.0,1 Unit
