Name,Quantity,Price
NIC Tender Coconut Ice Cream,500 ml,319.0
Kwality wall's Crunchilicious Butterscotch Tub,700 ml,150.0
Kwality Wall's Majestic Kesar Pista Tub,500 ml,210.0
Nic Cream Pot Vanilla Tub,1 l,167.0
NIC Coffee Walnut Ice Cream Tub,500 ml,319.0
NIC Tender Coconut Ice Cream,100 ml,85.0
Cream Bell French Vanila Tub,750 ml,127.0
Slow Churn Mango Ice Cream Tub,500 ml,345.0
Havmor Taj Mahal Ice Cream Tub,750 ml,288.0
Cream Bell Shahi Kulfi Ice Cream Tub,750 ml,280.0
Heritage Alpenvie Fruit Fusion Ice Cream Tub,450 ml,122.0
Heritage Alpenvie Kohinoor Kulfi Ice Cream Tub,950 ml,261.0
Dairy Day Choco Cake And Fudge Ice Cream Tub,480 ml,291.0
Cream Bell Caramel Butterscotch Tub,750 ml,127.0
Kwality Wall's Alphonso Mango Tub,700 ml,150.0
London Dairy Choco Brownie Delight Ice Cream Tub,500 ml,450.0
Baskin Robbins Alphonso Mango Ice Cream Tub,700 ml,510.0
Havmor Choco Brownie Ice Cream Tub,750 ml,240.0
NIC Alphonso Mango Ice Cream,100 ml,85.0
Heritage Alpenvie Belgian Chocolate Ice Cream Tub,950 ml,234.0
Kwality Wall's Shameless Vanilla Tub,700 ml,135.0
Kwality Wall's Darkly Divine Chocolate Sensation Tub,700 ml,200.0
Dairy Day Vanilla Ice Cream Tub,500 ml,131.0
NOTO Dark Chocolate Low Calorie Ice Cream Tub,500 ml,383.0
London Dairy Double Chocolate Ice Cream Tub,500 ml,450.0
Nic Cream Pot Butterscotch Tub,1 l,187.0
Dairy Day Crunchy Butter Scotch Ice Cream Tub,500 ml,156.0
Nic Cream Pot Chocolate Tub,1 l,177.0
Slow Churn Strawberry Ice Cream Tub,500 ml,300.0
Havmor Signature Nutty Belgian Dark Chocolate Ice Cream Tub,750 ml,288.0
Dairy Day American Nuts Ice Cream Tub,500 ml,194.0
Go Zero Belgian Dark Chocolate Low Calorie Guilt Free Ice Cream Tub,500 ml,298.0
Dairy Day American Nuts Ice Cream Tub,500 ml,194.0
Go Zero Belgian Dark Chocolate Low Calorie Guilt Free Ice Cream Tub,500 ml,298.0
NIC Dry Fruit Over Load Ice Cream Tub,500 ml,384.0
Baskin Robbins Honey Nut Crunch Ice Cream Tub,450 ml,402.0
NIC Alphonso Mango Ice Cream,500 ml,319.0
Dairy Day Sundae Chocolatey Tub,500 ml,136.0
Havmor American Mud Cake Ice Cream Tub,750 ml,288.0
Heritage Alpenvie Rajbhog Ice Cream Tub,450 ml,135.0
Kwality Wall's Oreo And Cream Tub,700 ml,249.0
Baskin Robbins Ice Cream Rocks Hazelnut,192 ml,325.0
Slow Churn Jamun Ice Cream Tub,500 ml,345.0
Cream Pot Mango Tub,1 l,177.0
Kwality Wall's Hazelnut Chocolate Ice Cream Tub,500 ml,277.0
Kwality Wall's Fruit And Nut Tub,700 ml,221.0
NIC Mixed Berries Ice Cream Tub,500 ml,384.0
NIC Sitaphal Ice Cream,500 ml,306.0
iD Freshly Frozen Chickoo Pulp,500 ml,199.0
iD Freshly Frozen Tender Coconut Pulp,500 ml,249.0
NIC Madagascar Ice Cream Tub,500 ml,432.0
Kwality Walls Gulab Jamun Tub,500 ml,275.0
Hocco Biscotti Ice Cream Tub,750 ml,256.0
Hocco Golden Chocolate Ice Cream Tub,750 ml,240.0
Cream Pot Dry Fruit Delight,1 L,226.0
Cream Pot American Nuts,1 L,226.0
Cream Pot Rajbhog,1 L,294.0
Cream Pot Cookies Cream,1 L,275.0
Iceberg Nutella Blend Organic Ice Cream Tub,400 ml,262.0
Iceberg Belgium Dark Chocolate Organic Ice Cream Tub,750 ml,431.0
Havmor Sugar Free Kesar Pista Tub,500 ml,207.0
Havmor Rajwadi Kulfi Falooda,750 ml,288.0
Hocco Belgian Choconut,750 ml,240.0
Hocco Choco Brownie,750 ml,200.0
Hocco Hazelnut Mudslide,750 ml,256.0
Go Zero Roasted Almond Low Calorie Guilt Free Ice Cream Tub,500 ml,300.0
Go Zero French Vanilla Low Calorie Guilt Free Ice Cream Tub,500 ml,298.0
Dairy Day Tutty Fruity,500 g,146.0
Dairy Day Black Currant,500 g,165.0
Dairy Day Anjeer Badam,700 g,224.0
NIC Sea Salt Caramel,100 ml,120.0
Minus 30 Mint Chocolate Chip Vegan & Sugar Free,115 ml,271.0
Minus 30 Coconut Vegan & Sugar Free,115 ml,271.0
Minus 30 Dark Chocolate Sea Salted Caramel,115 ml,180.0
Minus 30 Dark Chocolate Vegan And Sugar Free,115 ml,271.0
Minus 30 Belgian Chocolate,115 ml,180.0
Nic French Vanilla�,500 ml,382.0
Nic Belgian Chocolate,500 ml,430.0
Havmor Mahabaleshwar Strawberry 500 Ml Tub,500 ml,187.0
London Dairy Double Chocolate Ice Cream 500 ml Combo,500 ml X 2,830.0
Havmor Signature Nutty Belgian Dark Chocolate Ice Cream Tub 750 ml Combo,750ml X 2,576.0
Havmor American Mud Cake Ice Cream Tub 750 ml Combo,750ml X 2,576.0
Havmor Taj Mahal Ice Cream Tub 750 ml Combo,750ml X 2,576.0
Cream Pot Chocolate Tub 1 l Combo,1l X 2,354.0
NIC Tender Coconut Ice Cream 500 ml Combo,500ml X 2,638.0
Cream Pot Butterscotch Tub 1 l Combo,1l X 2,374.0
Kwality Wall's Majestic Kesar Pista Tub 500 ml Combo,500ml X 2,420.0
Cream Pot Vanilla Tub 1 l Combo,1l X 2,334.0
Cream Bell Caramel Butterscotch Tub 750 ml Combo,750ml X 2,254.0
Kwality Wall's Shameless Vanilla Tub 700 ml Combo,700ml X 3,405.0
Cream Pot Chocolate Tub 1 l Combo,1l X 3,531.0
NIC Tender Coconut Ice Cream 500 ml Combo,500ml X 3,957.0
Cream Pot Butterscotch Tub 1 l Combo,1l X 3,561.0
Kwality Wall's Majestic Kesar Pista Tub 500 ml Combo,500ml X 3,630.0
Cream Pot Vanilla Tub 1 l Combo,1l X 3,501.0
Kwality wall's Crunchilicious Butterscotch Tub 700 ml Combo,700ml X 3,450.0
Kwality Wall's Alphonso Mango Tub 700 ml Combo,700ml X 3,450.0
Go Zero - Zero Sugar - High Protein - Mocha Brownie Fudge Ice Cream 100 ml Combo,100 ml X 2,184.0
Go Zero - Zero Sugar - Low Calories - Belgian Dark Chocolate Ice Cream 100 ml Combo,100 ml X 2,184.0
Go Zero - Zero Sugar - Low Calories - Mad Over Mango Ice Cream 100 ml Combo,100 ml X 2,186.0
NIC Chocochips Ice Cream Tub 500 ml Combo,500ml X 2,638.0
Baskin-Robbins Very Berry Strawberry 100 ml Combo,100 ml X 2,128.0
Baskin Robbins Dutch Chocolate Ice Cream 100 ml Combo,100 ml X 3,225.0
Baskin Robbins Dutch Chocolate Ice Cream 100 ml Combo,100 ml X 2,160.0
Go Zero - Zero Sugar - Low Calories - Mad Over Mango Ice Cream 100 ml Combo,100 ml X 4,324.0
Go Zero - Zero Sugar - Low Calories - Mad Over Mango Ice Cream 100 ml Combo,100 ml X 3,261.0
London Dairy Choco Brownie Delight 500 gms Combo,500 ml X 2,830.0
Scoops Froops Real Chikoo Ice Cream Tub,500 ml,330.0
NIC Roasted Almond Ice Cream Tub,500 ml,319.0
Amul Chocolate Brownie Ice Cream Tub,1 l,230.0
Havmor Mocha Brownie Fudge Ice Cream Tub,750 ml,280.0
Kwality wall's Choco Brownie Fudge Tub,700 ml,256.0
NIC Chocochips Ice Cream Tub,500 ml,319.0
Cream Pot Black Currant,1 L,226.0
Cream Pot Strawberry,1 L,167.0
Hocco Blueberry Cheesecake,750 ml,256.0
NIC Plum Cake Ice Cream,500 ml,400.0
Nic Gajar Halwa Ice Cream,500 ml,365.0
Hangyo Belgian Chocolate - Tub,500 ml,169.0
Havmor Mocha Brownie Fudge Ice Cream Tub 750 ml Combo,750ml X 2,560.0
Havmor Choco Brownie Ice Cream Tub 750 ml Combo,750ml X 2,480.0
NIC Alphonso Mango Ice Cream 500 ml Combo,500ml X 2,638.0
NIC Alphonso Mango Ice Cream 500 ml Combo,500ml X 3,957.0
Cream Bell Caramel Butterscotch Tub 750 ml Combo,750ml X 3,381.0
NIC Chocochips Ice Cream Tub 500 ml Combo,500ml X 3,957.0
NIC Chocochips Ice Cream Tub 500 ml Combo,500ml X 3,957.0
NIC Chocochips Ice Cream Tub 500 ml Combo,500ml X 3,957.0
Baskin-Robbins Very Berry Strawberry 100 ml Combo,100 ml X 2,128.0
Baskin Robbins Dutch Chocolate Ice Cream 100 ml Combo,100 ml X 3,225.0
Baskin Robbins Dutch Chocolate Ice Cream 100 ml Combo,100 ml X 2,160.0
Go Zero - Zero Sugar - Low Calories - Mad Over Mango Ice Cream 100 ml Combo,100 ml X 4,324.0
Go Zero - Zero Sugar - Low Calories - Mad Over Mango Ice Cream 100 ml Combo,100 ml X 3,261.0
London Dairy Choco Brownie Delight 500 gms Combo,500 ml X 2,830.0
