Title,Category,Subcategory,MRP,DMart Price,Discount,Quantity,Unit Price,Product URL,Is DMart Exclusive
Star Light Fabric Whitener : 500 ml,Lighting & Electrical,light,65.0,65.0,26.0,500 ml,0.08,./kitchen and home personal cleaning_files/MAR150002925xx17MAR22_5_P.jpg,True
Godrej Genteel Matic Liquid Detergent Top Load Pouch : 2 kg,Uncategorized,,290.0,290.0,93.0,2 Kg,98.5,./kitchen and home personal cleaning_files/MAY150005173xx16MAY24_5_P.jpg,False
Star Bright Matic Liquid Detergent Top Load : 2 L,Uncategorized,,330.0,330.0,115.0,,107.5,./kitchen and home personal cleaning_files/JUN150006622xx6JUN24_5_P.jpg,True
BECO Natural Laundry Liquid - Front Load : 2 Litre,Uncategorized,,450.0,450.0,225.0,,112.5,./kitchen and home personal cleaning_files/JAN150006037xx22JAN24_5_P.jpg,False
Star Bright Matic Liquid Detergent Front Load : 2 L,Uncategorized,,370.0,370.0,151.0,,109.5,./kitchen and home personal cleaning_files/JUN150006623xx6JUN24_5_P.jpg,True
More Light Extra Power Liquid Detergent : 5 L,Lighting & Electrical,light,525.0,525.0,176.0,,69.8,./kitchen and home personal cleaning_files/JUN150006632xx6JUN24_5_P.jpg,False
Godrej Fab Liquid Detergent Pouch : 2 L,Uncategorized,,225.0,225.0,45.0,,90.0,./kitchen and home personal cleaning_files/SEP150007608xx19SEP24_5_P.jpg,False
Tide Matic Front Load Liquid Detergent : 3.2 L,Uncategorized,,505.0,505.0,86.0,,,./kitchen and home personal cleaning_files/AUG150007185xx9AUG24_5_P.jpg,False
Tide Matic Liquid Front Load : 2 Litres,Uncategorized,,430.0,430.0,159.0,,135.5,./kitchen and home personal cleaning_files/JAN150004666xx30JAN24_5_P.jpg,False
Revive Liquid Stiffener : 400 gms,Uncategorized,,155.0,155.0,30.0,400 g,0.31,./kitchen and home personal cleaning_files/APR150000223xx14APR22_5_P.jpg,False
Ujala Supreme Fabric Whitener : 250 ml,Uncategorized,,80.0,80.0,5.0,250 ml,0.3,./kitchen and home personal cleaning_files/IDetergents250mlUJLA2576xx240621_5_P.jpg,False
Henko Matic Lintelligent Front Load Liquid Detergent Pouch : 2 Litres,Uncategorized,,490.0,490.0,183.0,,153.5,./kitchen and home personal cleaning_files/JUN150005872xx3JUN24_5_P.jpg,False
Henko Matic Lintelligent Top Load Liquid Detergent Pouch : 2 Litres,Uncategorized,,430.0,430.0,170.0,,130.0,./kitchen and home personal cleaning_files/JUN150005871xx3JUN24_5_P.jpg,False
Pril Lime Dishwash Liquid : 225 ml,Uncategorized,,55.0,55.0,4.0,225 ml,0.23,./kitchen and home personal cleaning_files/FEB150002524xx13FEB22_5_P.jpg,False
Rin Advanced Detergent Powder : 7 kgs,Uncategorized,,740.0,740.0,84.0,7 Kg,93.71,./kitchen and home personal cleaning_files/FEB150001015xx29FEB24_5_P.jpg,False
Star Bright Detergent Powder : 5 kgs,Uncategorized,,500.0,500.0,181.0,5 kg,63.8,./kitchen and home personal cleaning_files/DEC150003627xx25DEC23_5_P.jpg,True
Surf Excel Matic Front Load Detergent Powder : 6 kgs,Uncategorized,,1475.0,1475.0,288.0,6 kg,197.83,./kitchen and home personal cleaning_files/FEB150001006xx1FEB24_5_P.jpg,False
Ariel Complete Detergent Powder : 2 kgs,Uncategorized,,800.0,800.0,50.0,2 kg,375.0,./kitchen and home personal cleaning_files/OCT150000923xx15OCT24_5_P.jpg,False
Surf Excel Matic Top Load Detergent Powder : 6 kgs,Uncategorized,,1375.0,1375.0,226.0,6 kg,191.5,./kitchen and home personal cleaning_files/JAN150001007xx25JAN24_5_P.jpg,False
Tide Naturals Detergent Powder Lemon & Chandan : 800 gms,Uncategorized,,85.0,85.0,5.0,800 g,0.1,./kitchen and home personal cleaning_files/NOV150000187xx07NOV22_5_P.jpg,False
Vanish Oxi Action Stain Remover : 400 gms,Uncategorized,,240.0,240.0,20.0,400 g,0.55,./kitchen and home personal cleaning_files/DEC150000236xx14DEC21_5_P.jpg,False
Mr. White Detergent Powder : 5 kgs,Uncategorized,,620.0,620.0,171.0,5 kg,89.8,./kitchen and home personal cleaning_files/DEC150000925xx11DEC21_5_P.jpg,False
Wipro Safewash Front Load Liquid Detergent Pouch : 2 Litres,Uncategorized,,490.0,490.0,245.0,,122.5,./kitchen and home personal cleaning_files/FEB150002102xx5FEB24_5_P.jpg,False
Tide Matic Top Load Liquid Detergent : 3.2 L,Uncategorized,,449.0,449.0,34.0,,129.69,./kitchen and home personal cleaning_files/AUG150007184xx9AUG24_5_P.jpg,False
