name,category,subcategory,price,unit
Britannia Good Day Cashew Cookies : 600 gms,Biscuits & Cookies,cookie,150,600 g
Karachi Fruit Biscuits : 400 gms,Biscuits & Cookies,biscuit,170,400 g
Sunfeast Dark Fantasy Yumfills Cake : 242 gms,,,170,242 g
Malkist Cheese Flavoured Crunchy Layered Crackers : 138 gms,,,60,138 g
Britannia Little Hearts Classic : 70 g,,,30,70 g
Britannia Good Day Chocochip Cookies : 400 gms,Biscuits & Cookies,cookie,150,400 g
Unibic Cashew Badam Cookies : 500 gms,Biscuits & Cookies,cookie,150,500 g
Karachi Chai Biscuit : 400 gms,Biscuits & Cookies,biscuit,180,400 g
Britannia Good Day Pista Badm Cookies : 600 gms,Biscuits & Cookies,cookie,160,600 g
Malkist Chocolate Flavoured Crunchy Layered Crackers : 138 gms,Chocolates & Candies,chocolate,60,138 g
Dukes Nice Sugar Sprinkled Coconut Biscuits : 145 gms,Biscuits & Cookies,biscuit,35,145 g
Unibic Snappers Potato Crackers - Cream N' Onion : 300 gms,,,160,300 g
Unibic Choco Nut Cookies : 500 gms,Biscuits & Cookies,cookie,200,500 g
Karachi Cashew Biscuits : 400 gms,Biscuits & Cookies,biscuit,210,400 g
Unibic Kesar Cashew Badam Cookies : 200 gms,Biscuits & Cookies,cookie,65,200 g
McVitie's Ginger Cookies : 120 gms,Biscuits & Cookies,cookie,60,120 g
Foodlion Osmania Biscuits : 400 gms,Biscuits & Cookies,biscuit,130,400 g
Malkist Cappuccino Flavoured Crunchy Layered Crackers : 144 gms,,,60,144 g
Kanak Cafe Biscuits : 150 gms,Biscuits & Cookies,biscuit,60,150 g
RiteBite Max Protein Cookie Choco Chips : 55 gms,Biscuits & Cookies,cookie,50,55 g
RiteBite Max Protein Cookie Nuts & Seeds : 55 gms,Biscuits & Cookies,cookie,50,55 g
RiteBite Max Protein Cookie Oats & Raisins : 55 gms,Biscuits & Cookies,cookie,50,55 g
Avni Kaju Biscuits : 180 gms,Biscuits & Cookies,biscuit,44,180 g
Parle-G Original Gluco Biscuits : 800 gms,Biscuits & Cookies,biscuit,100,800 g
Patanjali Doodh Biscuits : 800 gms,Biscuits & Cookies,biscuit,125,800 g
Britannia Milk Bikis Biscuits : 500 gms,Biscuits & Cookies,biscuit,90,500 g
Britannia Milk Bikis Biscuits : 200 gms,Biscuits & Cookies,biscuit,55,200 g
Britannia Marie Gold Biscuits : 950 gms,Biscuits & Cookies,biscuit,160,950 g
Sunfeast Marie Light Biscuit : 1 kg,Biscuits & Cookies,biscuit,150,1 kg
Dukes Cracker Salted Biscuits : 150 gms,Biscuits & Cookies,biscuit,60,150 g
Britannia 50-50 Sweet & Salty Biscuits : 188 gms,Biscuits & Cookies,biscuit,40,188 g
Lotte Choco Pie : 504 gms,,,220,504 g
Sunfeast Dark Fantasy Choco Fills Cookies : 471.5 g,Biscuits & Cookies,cookie,350,5 g
Bisky Bites Bourbon Sandwich Biscuits : 500 gms,Biscuits & Cookies,biscuit,110,500 g
Britannia Jim Jam Cream Biscuits : 138 gms,Biscuits & Cookies,biscuit,40,138 g
Bisky Bites Bourbon Sandwich Biscuits : 150 gms,Biscuits & Cookies,biscuit,36,150 g
Bisky Bites Vanilla Magic Sandwich Biscuits : 300 gms,Biscuits & Cookies,biscuit,92,300 g
Sunfeast Dark Fantasy Bourbon Biscuits : 111.6 gm,Biscuits & Cookies,biscuit,35,6 g
Sunfeast Dark Fantasy Choco Creme Biscuits : 83 g,Biscuits & Cookies,biscuit,35,83 g
Sunfeast Dark Fantasy Vanilla Creme Biscuits : 83 g,Biscuits & Cookies,biscuit,35,83 g
Cadbury Chocobakes Choc-Filled Cookies : 276 g,Biscuits & Cookies,cookie,180,276 g
Bisky Bites Chocolate Blast Sandwich Biscuits : 300 gms,Biscuits & Cookies,biscuit,92,300 g
Bisky Bites Vanilla Magic Sandwich Biscuits : 500 gms,Biscuits & Cookies,biscuit,149,500 g
Dukes Bourbon Biscuits : 125 g,Biscuits & Cookies,biscuit,36,125 g
Cadbury Bournvita Biscuit Pack : 400 g,Biscuits & Cookies,biscuit,140,400 g
Parle Hide & Seek Choco Rolls : 250 gms,,,170,250 g
Cadbury Oreo Strawberry Creme Flavoured Sandwich Biscuit : 108.55 g,Biscuits & Cookies,biscuit,30,55 g
Sunfeast Farmlite 5 Grain Digestive Biscuit : 800 gms,Biscuits & Cookies,biscuit,240,800 g
Mcvitie's Digestive Biscuits : 959.1 gms,Biscuits & Cookies,biscuit,199,1 g
Britannia Toastea Premium Bake Rusk : 400 gms,,,80,400 g
Dukes Waffy Choco Roll : 250 gms,,,180,250 g
Dukes Waffy Strawberry Flavoured Wafer Biscuits : 60 gms,Biscuits & Cookies,biscuit,50,60 g
Dukes Waffy Chocolate Flavoured Wafer Biscuits : 60 gms,Biscuits & Cookies,biscuit,50,60 g
Dukes Waffy Vanilla Flavoured Wafer Biscuits : 60 gms,Biscuits & Cookies,biscuit,50,60 g
Dukes Waffy Orange Flavoured Wafer Biscuits : 60 gms,Biscuits & Cookies,biscuit,50,60 g
Dukes Waffy Pineapple Flavoured Wafer Biscuits : 60 gms,Biscuits & Cookies,biscuit,50,60 g
Nova Nova Best Bite Gift Box : 150 g,,,399,150 g
Nova Nova Sweet & Savoury Gift Box : 205 g,Sweets,sweet,499,205 g
Nova Nova Choco Pockets Gift Box : 180 g,,,399,180 g
Threptin Biscuits Vanilla : 275 gms,Biscuits & Cookies,biscuit,499,275 g
Unibic Oats Digestive Biscuits : 1 kg,Biscuits & Cookies,biscuit,300,1 kg
Britannia Nutri Choice 5 Grain Digestive Biscuits : 200 gms,Biscuits & Cookies,biscuit,75,200 g
Rajam Snacks Garlic Mixture : 800 gm,Snacks & Munchies,snack,220,800 g
Bikaji Bhujia : 1 kg,,,330,1 kg
Bikaji Soya Sticks : 200 gms,,,80,200 g
Peppy Cheese Balls : 60 gms,,,60,60 g
Kurkure Masala Munch : 75 g,Snacks & Munchies,munch,20,75 g
Haldiram's Soya Sticks : 400 gms,,,104,400 g
Peppy Tomato Discs : 60 gms,Ketchup & Sauce,tomato,60,60 g
Kurkure Green Chutney Style : 68 g,,,20,68 g
Avni Cornflakes Chiwda : 150 gms,,,48,150 g
Avni Sweet Namak Para : 150 gms,Sweets,sweet,45,150 g
Avni Barik Sev : 150 gms,Chocolates & Candies,bar,45,150 g
Haldiram's Bhel Puri Snacks Mix : 150 gms,Snacks & Munchies,snack,70,150 g
Avni Mixture : 150 gms,,,45,150 g
Avni Diet Chiwda : 150 gms,Health Food,diet,45,150 g
Bingo Chilli Sprinkled Potato Chip : 85 g,,,50,85 g
Bingo Mad Angles Achaari Masti : 117 g,,,50,117 g
Pringles Potato Chips - Sour Cream & Onion : 107 gms,,,120,107 g
Lay's Classic Salted Potato Chips : 82 g,,,50,82 g
Pringles Potato Chips - Peri Peri : 102 gms,,,120,102 g
Pringles Potato Chips - Pizza Flavour : 102 gms,,,120,102 g
Bingo Mad Angles Very Peri Peri : 117 g,,,50,117 g
Classic Banana Chips : 500 gms,,,230,500 g
Bingo No Rulz Masala Baked Curlz : 80 gms,,,50,80 g
Bingo Salt Sprinkled Potato Chips : 85 g,,,50,85 g
Doritos Nacho Cheese Flavour : 153 gms,,,90,153 g
Too Yumm Style Cream & Onion Potato Chips : 82 g,,,50,82 g
Too Yumm Kraze Masala Mischief : 75 g,,,60,75 g
Pringles Potato Chips - Desi Masala Tadka : 102 gms,,,120,102 g
Lays Potato Chips - Sizzlin Hot : 48 gms,,,20,48 g
Too Yumm Indian Masala Potato Chips : 82 g,,,50,82 g
Lay's Wafer Style Potato Chips - Sundried Chilli : 48 gms,,,20,48 g
RiteBite Max Protein Peri Peri Chips : 60 gms,,,45,60 g
Avni Banana Chips : 160 gms,,,74,160 g
Avni Masala Banana Chips : 180 gms,,,64,180 g
Too Yumm Dahi Papdi Chaat Multigrain Chips : 65 gms,,,35,65 g
Too Yumm Spicy Chilli Wafers : 82 g,,,50,82 g
Too Yumm Puffs Savage Masala : 75 gm,,,60,67 g
RiteBite Max Protein Spanish Tomato Chips : 60 gms,Ketchup & Sauce,tomato,45,60 g
Too Yumm Smoking Hot Bhoot Chips : 44 g,,,20,45 g
Mille Jowar Puffs - Magic Masala : 35 gm,,,39,35 g
Mille Jowar Puffs - Chatpata Treat : 35 gm,,,39,35 g
Kurkure Masala Munch Namkeen : 94 g,Snacks & Munchies,munch,30,94 g
Jabsons Methi Khakhra : 180 gms,,,80,180 g
Bikaji Khatta Meetha Tana Bana : 1 kg,,,360,
Jabsons Bajra Methi Khakhra : 180 gms,,,100,180 g
Jabsons Jeera Khakhra : 180 gms,,,80,180 g
Makhanawala's Roasted Makhana (Foxnuts) Peri-Peri : 60 gm,,,150,60 g
Jabsons Chilly Garlic Khakhra : 180 gms,,,80,180 g
Jabsons Punjabi Masala Khakhra : 180 gms,,,80,180 g
GRB Town Bus Garlic Mixture : 500 gms,,,220,500 g
Avni Boondi : 150 gms,,,48,150 g
Gujjubhai Methi Khakhra : 180 gms,,,120,180 g
TM Makai Chiwda : 150 gms,,,46,150 g
TM Butter Chakali : 100 gms,,,42,100 g
Gujjubhai Chana Jor Garam : 80 gms,,,40,80 g
Gujjubhai Masala Khakhra : 180 gms,,,120,180 g
Too Yumm Rings Tomato Twist : 70 gms,Ketchup & Sauce,tomato,60,70 g
Gujjubhai Biscuit Bhakri Chilli Garlic : 180 gms,Biscuits & Cookies,biscuit,130,180 g
