Title,Category,Subcategory,MRP,DMart Price,Discount,Quantity,Unit Price,Product URL,Is DMart Exclusive
Himalaya Purifying Neem Face Wash : 200 ml,Uncategorized,,325.0,325.0,163.0,200 ml,0.81,./personalcarebeauty_files/MAY140000394xx12MAY23_5_P.jpg,False
Ayurmix Neem Face Wash : 200 ml,Uncategorized,,160.0,160.0,61.0,200 ml,0.49,./personalcarebeauty_files/MAR140005565xx27MAR24_5_P.jpg,True
Cetaphil Gentle Skin Cleanser : 500 ml,Uncategorized,,1049.0,1049.0,113.0,500 ml,1.87,./personalcarebeauty_files/MAR140005503xx5MAR24_5_P.jpg,False
Pond's Bright Beauty Spot-Less Glow Facewash : 200 gms,Gardening,pot,452.0,452.0,234.0,200 g,1.09,./personalcarebeauty_files/JUL140001199xx23JUL24_5_P.jpg,False
Clean & Clear Foaming Facewash : 240 ml,Uncategorized,,430.0,430.0,215.0,240 ml,0.9,./personalcarebeauty_files/MAR140003491xx19MAR23_5_P.jpg,False
Cetaphil Oily Skin Cleanser : 125 ml,Uncategorized,,649.0,649.0,167.0,125 ml,3.86,./personalcarebeauty_files/OCT140004355xx14OCT22_5_P.jpg,False
Everyuth Naturals Brightening Lemon & Cherry Face Wash : 150 gms,Uncategorized,,205.0,205.0,79.0,150 g,0.84,./personalcarebeauty_files/KFACEWASH150gmEVUT58xx070621_5_P.jpg,False
Garnier Bright Complete Face Wash - Lemon : 100 gms,Uncategorized,,209.0,209.0,15.0,100 g,1.94,./personalcarebeauty_files/IFaceWash100gGNR855xx26621_4_P.jpg,False
Garnier Bright Complete Vitamin C Face Wash : 150 g,Uncategorized,,349.0,349.0,175.0,150 g,1.16,./personalcarebeauty_files/MAR140004589xx17MAR23_5_P.jpg,False
Skin Fx Superfood Coffee Shot Anti Acne Foaming Face Wash : 100 ml,Uncategorized,,299.0,299.0,250.0,100 ml,0.49,./personalcarebeauty_files/MAR140005536xx20MAR24_5_P.jpg,False
Ayurmix Purifying Neem Face Wash : 150 ml,Uncategorized,,130.0,130.0,65.0,150 ml,0.43,./personalcarebeauty_files/JAN140003023xx19JAN24_5_P.jpg,True
Nivea Milk Delight Saffron Face Wash : 100 ml,Lighting & Electrical,light,230.0,230.0,74.0,100 ml,1.56,./personalcarebeauty_files/JAN140002183xx28JAN22_5_P.jpg,False
