name,category,subcategory
Tigi Earphone With Mic : 1 Unit,,
Portronics Smart Twins Bluetooth Earbuds S5 - White : 1 Unit,Smart Home,Smart Devices
Hapipola Mystic Neck Band - Black : 1 Unit,,
Portronics Sounddrum-1 Bluetooth 10W Speaker : 1 Unit,,
Hapipola Airpro Type C Earphone - White : 1 Unit,,
Nu Republic Party Box 160 Bluetooth Speaker 16W - Black : 1 Unit,Party & Events,Party Supplies
Nu Republic Epic X3 Wireless Earbuds - Blue : 1 Unit,,
Hapipola Slider Bluetooth Speaker - Black : 24 W,,
Nu Republic Dubstep Buzz X5 Wireless Earbuds - Black + Yellow : 1 Unit,,
Zebronics Sound Bomb S1-Wireless Earbud : 1 Unit,,
Mobilla MBUDS 533 TWS Earbuds (IPX4) - White : 1 Unit,,
Mobilla MBUDS 109 TWS Earbuds (IPX4) - Blue : 1 Unit,,
Hapipola Adventure Bluetooth Speaker - Black : 5W,,
Portronics Buzz Portable Bluetooth 5W Speaker : 1 Unit,,
Artis Bt09 Portable Wireless Bluetooth Speaker : 1 Unit,,
Zebronics Delight Bluetooth Speaker : 3 W,,
Ambrane Dots XS Wireless Earphones : 1 Unit,,
Portronics Pixel Portable Bluetooth 8W Speaker : 1 Unit,,
Zebronics Storm Headphone With Mic : 1 Unit,,
Ambrane Bassband Beat Bluetooth Earphones : 1 Unit,,
Artis MS301 Portable Wireless Bluetooth Speaker : 1 Unit,,
Portronics Modesk Mobile Stand : 1 Unit,,
Portronics My Buddy K2 Laptop Stand : 1 Unit,,
Portronics Buddy Hexa22 Laptop Stand : 1 Unit,,
Mobilla Car Smart Phone Holder (MGRIP X) - Black : 1Unit,Smart Home,Smart Devices
Portronics Dual Micro USB 12 W Car Charger (Black) - POR-1345 : 12 W,,
Mobilla Bike Mobile Phone Holder (MGRIP Y1) - Black : 1 Unit,,
Mobilla Mobile & Tablet Stand (MGRIP Z1) - Black : 1 Unit,,
Hapipola Speed Wireless Mouse - White : 1 Unit,,
Zebronics Power+ Optical Mouse : 1 Unit,,
Usha EI1602 Electric Iron : 1000 W,,
Crompton Greaves Rhino Heavy Weight Iron : 1000 W,,
Jaipan Aqua Iron (Aqua Blue) - 1000 W : 1 Unit,,
Hamilton Beach Professional Garment Steamer (Black) - 1740 W : 1 Unit,Fashion & Accessories,Men's Fashion
Bajaj MX35N Steam Iron : 2000 W,,
Usha Aurora Dry Iron - 1000 W : 1 Unit,,
Bajaj Dry Iron - DX4 : 1000 W,,
Pigeon 14625 Dry Iron (Pink) - 1000 W : 1 Unit,,
Geep Vintage Dry Iron - Cherry Red - 1000 W : 1 Unit,,
Jaipan Hot Plus Iron 1000W - White : 1 Unit,,
GM Ferro Heavyweight Dry Iron - Orange : 1200 W,,
Agaro Signify Handheld Garment Steamer - 1500 W : 1 Unit,Fashion & Accessories,Men's Fashion
GM Cruise Dry Iron - Red : 1000 W,,
Crompton Greaves Super Hill Briz Ceiling Fan 1200 mm : Brown,,
Crompton Greaves Super Briz Deco Ceiling Fan 1200 mm : Smoked Brown,,
D Homes Mini Table Fan - KN-2816 : 1 Unit,,
D Homes Table Fan - KN-L2885 : 1 Unit,,
Portronics Portable 360° Fan Rechargeable (Black + Blue) - POR-1928 : 1 Unit,,
Portronics Portable Desktop 360° Cooling Fan (White) - POR-2079 : 1 Unit,,
Crompton Greaves Super Briz Deco Ceiling Fan 1200 mm : Ivory,,
Usha Racer Chrome Ceiling Fan 1200 mm : Brown,,
Portronics Portable 360° Fan Rechargeable (White + Grey) - POR-1929 : 1 Unit,,
D Homes Rechargeable Mini Fan - KN-L2915 : 1 Unit,,
Portronics Portable Pocket Fan Rechargeable (Green) - POR-1927 : 1 Unit,,
Usha Aerostyle Ceiling Fan 1200 mm : Brown,,
Portronics Portable Pocket Fan Rechargeable (White) - POR-1926 : 1 Unit,,
Usha Air King Ceiling Fan 1200 mm : Brown,,
Usha Swift Ceiling Fan - 600 mm (Brown) : 1 Unit,,
Crompton IHL-201 Immersion Heater : 1000 W,,
Crompton Immersion Heater : 1000 W,,
Usha IH2410 Immersion Heater : 1000 W,,
Midea Electric Instant Water Heater MWH03-30MKA(IN) W - 3000 W : 1Unit,,
GM 4+1 Power Strip : 1 Unit,,
