Title,Category,Subcategory,MRP,DMart Price,Discount,Quantity,Unit Price,Product URL,Is DMart Exclusive
Vega Hair Dryer VHDH-05 : 1000 W,Personal Care & Beauty,hair,999.0,999.0,354.0,,,https://www.dmart.in/product/vega-hair-dryer-vhdh-05-phairdriers0vega1xx250422?selectedProd=740555,False
Brass Borosil Akhand Diya Large : 1 Unit,Uncategorized,,1195.0,1195.0,196.0,,,https://www.dmart.in/product/brass-borosil-akhand-diya-large-ppoojaitems0boro3xx280922?selectedProd=1149003,False
Wonderchef Crescent Electric Kettle (1350 W) - 1.5 L : 1 Unit,Uncategorized,,1600.0,1600.0,1101.0,,,https://www.dmart.in/product/wonderchef-cresent-electric-kettle-pkettles0wond1xx111022?selectedProd=1164007,False
The Monk Who Sold His Ferrari By Robin Sharma : 1 Unit,Uncategorized,,299.0,299.0,90.0,,,https://www.dmart.in/product/the-monk-who-sold-his-ferrari-by-robin-sharma-pbooks0giip49xx260624?selectedProd=1595272,False
Philips Hair Dryer HP8142 : 1000 W,Personal Care & Beauty,hair,995.0,995.0,136.0,,,https://www.dmart.in/product/philips-hp8142-hair-dryer---1000w-pdriersphip017xx231018?selectedProd=383505,False
Portronics Smart Twins Bluetooth Earbuds S5 - White : 1 Unit,Uncategorized,,2999.0,2999.0,2200.0,,,https://www.dmart.in/product/portronics-smart-twins-bluetooth-earbuds-s5-(white)-pearphones0port35xx61223?selectedProd=1433520,False
Jaipan Combo Star Aluminium Cooker With Common Lid (2 L + 3 L) : 1 Unit,Uncategorized,,1795.0,1795.0,796.0,,,https://www.dmart.in/product/jaipan-combo-star-cooker-with-common-lid-pcookers0jaip7xx160224?selectedProd=1476045,False
Jaipan Aqua Iron (Aqua Blue) - 1000 W : 1 Unit,Uncategorized,,1295.0,1295.0,896.0,,,https://www.dmart.in/product/jaipan-aqua-iron-1000w----aqua-blue-pdryirons0jaip17xx160224?selectedProd=1476056,False
The Psychology Of Money By Morgan Housel : 1 Unit,Uncategorized,,399.0,399.0,120.0,,,https://www.dmart.in/product/the-psychology-of-money-by-morgan-housel-pbooks0giip51xx260624?selectedProd=1595274,False
Vega 3 In 1 Hair Styler - VHSCC01 : 1 Unit,Personal Care & Beauty,hair,1999.0,1999.0,704.0,,,https://www.dmart.in/product/vega-3-in-1-hair-styler---vhscc01-phaircarevega1xx31218?selectedProd=396510,False
Maftlal Upvan Double Bedsheet 415B 144TC : 236 x 274 cm,Bed & Bath,bed,2399.0,2399.0,1550.0,,,https://www.dmart.in/product/maftlal-upvan-double-bedsheet-415b-144tc-pdoublebedsheet0maft41xx280922?selectedProd=1144027,False
Wonderchef Bellagio Ceramic Non stick Cookware Set - Electric Blue : 4 Pieces,Uncategorized,,6000.0,6000.0,2601.0,4 Pieces,,https://www.dmart.in/product/wonderchef-bellagio-ceramic-non-stick-cookware-set---electric-blue-pnonstick0wond23xx31123?selectedProd=1407541,False
Jaipan Stainless Steel Electric Kettle : 1.8 L,Uncategorized,,1895.0,1895.0,1396.0,,,https://www.dmart.in/product/jaipan-stainless-steel-electric-kettle-pkettles0jaip45xx60624?selectedProd=1586062,False
How To Win Friends And Influence People By Dale Carnegie : 1 Unit,Uncategorized,,199.0,199.0,60.0,,,https://www.dmart.in/product/how-to-win-friends-and-influence-people-by-dale-carnegie-pbooks0giip13xx260624?selectedProd=1595236,False
Hapipola Mystic Neck Band - Black : 1 Unit,Uncategorized,,1999.0,1999.0,1400.0,,,https://www.dmart.in/product/hapipola-mystic-neck-band-black-pearphones2xx200824?selectedProd=1617051,False
Pigeon Induction Cooktop Acer Plus : 1800 W,Uncategorized,,3995.0,3995.0,1996.0,,,https://www.dmart.in/product/pigeon-induction-cooktop-acer-plus-pcooktop0pige57xx280920?selectedProd=778543,False
Portronics Sounddrum-1 Bluetooth 10W Speaker : 1 Unit,Uncategorized,,2499.0,2499.0,1350.0,,,https://www.dmart.in/product/portronics-sounddrum-1-bluetooth-speaker-pspeakers0port15xx20522?selectedProd=1032014,False
