Title,Category,Subcategory,MRP,DMart Price,Discount,Quantity,Unit Price,Product URL,Is DMart Exclusive
Polo Class Kids Trolley Bag - Green : 27 Litre,Bags & Accessories,bag,3999.0,3999.0,2300.0,,,https://www.dmart.in/product/polo-class-kids-trolley-bag---green-pbags0polo17xx30124?selectedProd=1450013,False
Misswish Women's Printed Sling Bag - Brown : 1 Unit,Bags & Accessories,bag,850.0,850.0,381.0,,,https://www.dmart.in/product/misswish-womens-printed-sling-bag-brown-pdoormats0miss9xx50324?selectedProd=1482066,False
Misswish Women's Printed Laptop Bag - Brown : 1 Unit,Bags & Accessories,bag,1550.0,1550.0,751.0,,,https://www.dmart.in/product/misswish-womens-printed-laptop-bag-brown-pdoormats0miss5xx50324?selectedProd=1482064,False
Misswish Women's Leather Hand Bag - Tan : 1 Unit,Bags & Accessories,bag,1200.0,1200.0,631.0,,,https://www.dmart.in/product/misswish-womens-leather-hand-bag-tan-pdoormats0miss7xx50324?selectedProd=1482065,False
Sabhyata Peacock Design ST150-09 Tote Bag (Green): 1 Unit,Bags & Accessories,bag,600.0,600.0,201.0,,,https://www.dmart.in/product/sabhyata-peacock-design-st150-09-tote-bag-(green)-pbag0sabh43xx20724?selectedProd=1588532,False
GG By Baggit LXE Abeline E Ashlyn Handbag - Charcoal Grey : 1 Unit,Bags & Accessories,bag,2890.0,2890.0,1891.0,,,https://www.dmart.in/product/gg-by-baggit-lxe-abeline-e-ashlyn-handbag-charcoal-grey-plaptopbags0ggb1xx130624?selectedProd=1585575,False
Sabhyata Three Ladies Design ST150-11 Tote Bag (Blue): 1 Unit,Bags & Accessories,bag,600.0,600.0,201.0,,,https://www.dmart.in/product/sabhyata-three-ladies-design-st150-11-tote-bag-(blue)-pbag0sabh47xx20724?selectedProd=1588534,False
GG By Baggit LXE Dim E Diego Handbag - Olive Green : 1 Unit,Bags & Accessories,bag,3190.0,3190.0,2191.0,,,https://www.dmart.in/product/gg-by-baggit-lxe-dim-e-diego-handbag-olive-green-plaptopbags0ggb13xx130624?selectedProd=1585581,False
GG By Baggit LXE Abeline 1 E Diego Handbag - Pale Yellow : 1 Unit,Bags & Accessories,bag,2890.0,2890.0,1891.0,,,https://www.dmart.in/product/gg-by-baggit-lxe-abeline-1-e-diego-handbag-pale-yellow-plaptopbags0ggb3xx130624?selectedProd=1585576,False
Sabhyata Mandala Design ST150-07 Tote Bag (Yellow): 1 Unit,Bags & Accessories,bag,600.0,600.0,201.0,,,https://www.dmart.in/product/sabhyata-mandala-design-st150-07-tote-bag-(yellow)-pbag0sabh41xx20724?selectedProd=1588531,False
Sabhyata Buddha Design ST150-03 Tote Bag (Black): 1 Unit,Bags & Accessories,bag,600.0,600.0,201.0,,,https://www.dmart.in/product/sabhyata-buddha-design-st150-03-tote-bag-(black)-pbag0sabh35xx20724?selectedProd=1588528,False
GG By Baggit LXE Odiya E Floater Handbag - Emerald Green : 1 Unit,Bags & Accessories,bag,3190.0,3190.0,2291.0,,,https://www.dmart.in/product/gg-by-baggit-lxe-odiya-e-floater-handbag-emerald-green-plaptopbags0ggb29xx130624?selectedProd=1585589,False
