name,category,subcategory,price,unit,image,status,stock_count
ProV Select California Almonds : 1 kg,Fresh Produce,Vegetables,1349.0,1 kg,/api/placeholder/200/200,active,100
Prov Independence California Almonds : 500 gms,Fresh Produce,Vegetables,749.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Badam (Almonds) : 500 gms,Fresh Produce,Vegetables,577.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Chana Dal (Senaga pappu) : 500 gms,Fresh Produce,Vegetables,81.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Rajma White (Chitra) : 500 gms,Fresh Produce,Vegetables,119.0,500 g,/api/placeholder/200/200,active,100
Wonderland California Almonds : 500 gms,Fresh Produce,Vegetables,725.0,500 g,/api/placeholder/200/200,active,100
DMart Premia Badam American : 1 kg,Fresh Produce,Vegetables,1058.0,1 kg,/api/placeholder/200/200,active,100
DMart Healthy Choice Unpolished Chana Dal (Senaga pappu) : 1 kg,Fresh Produce,Vegetables,171.0,1 kg,/api/placeholder/200/200,active,100
Nutraj Almond : 200 gms,Fresh Produce,Vegetables,299.0,200 g,/api/placeholder/200/200,active,100
Happilo Californian Almonds : 500 gms,Fresh Produce,Vegetables,675.0,500 g,/api/placeholder/200/200,active,100
Tata Sampann 100% Organic Unpolished Chana Dal (Senaga pappu) : 1 kg,Fresh Produce,Vegetables,260.0,1 kg,/api/placeholder/200/200,active,100
Tenali Double Horse Chana Dall : 500 gms,Fresh Produce,Vegetables,80.0,500 g,/api/placeholder/200/200,active,100
Ziofit Popular Californian Almonds : 500 gms,Fresh Produce,Vegetables,625.0,500 g,/api/placeholder/200/200,active,100
Organic Tattva Chana Dal : 500 gms,Fresh Produce,Vegetables,120.0,500 g,/api/placeholder/200/200,active,100
Happilo Roasted California Almond : 200 gms,Fresh Produce,Vegetables,335.0,200 g,/api/placeholder/200/200,active,100
Happilo California Natural Almonds : 200 gms,Fresh Produce,Vegetables,275.0,200 g,/api/placeholder/200/200,active,100
VSR Channa Dal (Senaga pappu) : 1 kg,Fresh Produce,Vegetables,168.0,1 kg,/api/placeholder/200/200,active,100
VSR Chana Dal (Senaga pappu) : 500 gms,Fresh Produce,Vegetables,85.0,500 g,/api/placeholder/200/200,active,100
VSR Rajma Red (Chitra) : 500 gms,Fresh Produce,Vegetables,120.0,500 g,/api/placeholder/200/200,active,100
