name,category,subcategory,price,unit
Star Light Fabric Whitener : 500 ml,,,65.0,500 ml
Godrej Genteel Matic Liquid Detergent Top Load Pouch : 2 kg,Detergent & Fabric Care,detergent,290.0,
Star Bright Matic Liquid Detergent Top Load : 2 L,Detergent & Fabric Care,detergent,330.0,
BECO Natural Laundry Liquid - Front Load : 2 Litre,,,450.0,
Star Bright Matic Liquid Detergent Front Load : 2 L,Detergent & Fabric Care,detergent,370.0,
More Light Extra Power Liquid Detergent : 5 L,Detergent & Fabric Care,detergent,525.0,
Godrej Fab Liquid Detergent Pouch : 2 L,Detergent & Fabric Care,detergent,225.0,
Tide Matic Front Load Liquid Detergent : 3.2 L,Detergent & Fabric Care,detergent,505.0,
Tide Matic Liquid Front Load : 2 Litres,,,430.0,
Revive Liquid Stiffener : 400 gms,,,155.0,400 g
Ujala Supreme Fabric Whitener : 250 ml,,,80.0,250 ml
Henko Matic Lintelligent Front Load Liquid Detergent Pouch : 2 Litres,Detergent & Fabric Care,detergent,490.0,
Henko Matic Lintelligent Top Load Liquid Detergent Pouch : 2 Litres,Detergent & Fabric Care,detergent,430.0,
Pril Lime Dishwash Liquid : 225 ml,,,55.0,225 ml
Rin Advanced Detergent Powder : 7 kgs,Detergent & Fabric Care,detergent,740.0,
Star Bright Detergent Powder : 5 kgs,Detergent & Fabric Care,detergent,500.0,5 kg
Surf Excel Matic Front Load Detergent Powder : 6 kgs,Detergent & Fabric Care,detergent,1475.0,6 kg
Ariel Complete Detergent Powder : 2 kgs,Detergent & Fabric Care,detergent,800.0,2 kg
Surf Excel Matic Top Load Detergent Powder : 6 kgs,Detergent & Fabric Care,detergent,1375.0,6 kg
Tide Naturals Detergent Powder Lemon & Chandan : 800 gms,Detergent & Fabric Care,detergent,85.0,800 g
Vanish Oxi Action Stain Remover : 400 gms,,,240.0,400 g
Mr. White Detergent Powder : 5 kgs,Detergent & Fabric Care,detergent,620.0,5 kg
Wipro Safewash Front Load Liquid Detergent Pouch : 2 Litres,Detergent & Fabric Care,detergent,490.0,
Tide Matic Top Load Liquid Detergent : 3.2 L,Detergent & Fabric Care,detergent,449.0,
Henko Matic Lintelligent Top Load Detergent Powder : 2 kgs,Detergent & Fabric Care,detergent,540.0,2 kg
Patanjali Neem & Rose Detergent Powder : 1 kg,Detergent & Fabric Care,detergent,70.0,1 kg
Ariel Colour Detergent Powder : 1 kg,Detergent & Fabric Care,detergent,342.0,1 kg
Rin Antibac Detergent Powder : 1 kg,Detergent & Fabric Care,detergent,126.0,1 kg
Tide Detergent Bar : 4x200 g,Detergent & Fabric Care,detergent,115.0,200 g
Ghadi Detergent Cake : 5x250 gms,Detergent & Fabric Care,detergent,92.0,250 g
Tide Blue Detergent Bar : 80 gms,Detergent & Fabric Care,detergent,10.0,80 g
