name,category,subcategory,confidence
beatXP Gravity Prism Digital Weighing Scale (Blue),Fashion & Accessories,Women's Fashion,0.3
Solara Electric Kettle (1500 W),Electronics,Home Appliances,0.3173913043478261
Black + Decker Steam Iron 1600W (Red),Electronics,Home Appliances,0.3173913043478261
"Vega Insta Glam Hair Dryer (1000 W, VHDH-20)",Health & Beauty,Hair Care,0.5716453790664673
Prestige Pic 20.0 Induction Cooktop (Black),Electronics,Home Appliances,0.6173913043478261
Havells D'zire Dry Iron 1000 W (Mint),Electronics,Home Appliances,0.6173913043478261
Borosil Chef Delite 300-W Electric Chopper,Electronics,Home Appliances,0.6173913043478261
Black + Decker Cordless Steam Iron 2200W (Green),Electronics,Home Appliances,0.3173913043478261
"Philips 2-Slice Pop Up Toaster (830 W, White)",Electronics,Home Appliances,0.6173913043478261
Philips Multi Grooming 7 in 1 Trimmer Kit (White),Beauty & Personal Care,Makeup,0.40367481112480164
Borosil Chefdelite Electric Chopper 260W (White),Electronics,Home Appliances,0.6173913043478261
beatXP PulsePod Mini Handheld Vibration Massager for Head & Neck,Personal Care,Health & Wellness,0.38401558995246887
beatXP Blaze Electric Body Massager (Black),Personal Care,Health & Wellness,0.6266666666666667
beatXP Bolt Deep Tissue Massager Gun,Personal Care,Health & Wellness,0.37940508127212524
Agaro Electric Hot Water Bag Grey,Grocery & Food,Snacks & Beverages,0.3861932158470154
"Vega 3-In-1 Hair Styler (55 W, VHSCC-01)",Health & Beauty,Hair Care,0.30041298270225525
﻿Moi Soi Veg Hakka Noodles,Grocery & Food,Pantry Essentials,0.43076270818710327
﻿KLF Nirmal Virgin Cold Pressed Coconut Hair Oil,Health & Beauty,Hair Care,0.3910953998565674
Cheetos Flamin Hot Crunchy Crisps,Grocery & Food,Snacks & Beverages,0.43783891201019287
﻿101 Tales The Great Panchatantra Collection Of Witty Moral Stories,Fashion & Accessories,Women's Fashion,0.3
Crax Pasta Crunch Chinese Tadka Crisps,Grocery & Food,Pantry Essentials,0.4764556288719177
BRB Popped Potato Chips (Pasta Cheese Flavour) - Pack of 2,Grocery & Food,Snacks & Beverages,0.5256662368774414
﻿Kent Smart Chef Egg Boiler (360 W),Electronics,Home Appliances,0.6
﻿Amazon Lite Fire TV Stick with Alexa Voice Remote Lite,Smart Home,Smart Devices,0.3052184581756592
Yu 100% Whole Wheat Noodles,Grocery & Food,Pantry Essentials,0.47151440382003784
Mama Rice Instant Vermicelli Noodles,Grocery & Food,Pantry Essentials,0.5082319974899292
Lay's Maxx Sizzling Barbeque Potato Chips - Pack of 2,Grocery & Food,Snacks & Beverages,0.32989615201950073
RiteBite Max Protein Spanish Tomato Chips,Grocery & Food,Snacks & Beverages,0.4039260447025299
Manforce Epic Strawberry Flavoured Lubricant - Pack of 2,Health & Beauty,Health Care,0.3336729407310486
Bold Care Topical Delay Wipes ClockStopper for Men,Beauty & Personal Care,Skincare,0.3528147339820862
Skore Strawberry Dotted Condom - Pack of 3,Fashion & Accessories,Women's Fashion,0.3
Plush Love Glove Multi Textured Condom - Pack of 2,Automotive,Cars & Motorbike,0.384283185005188
"Open - 29th January, 2024",Party & Events,Event Planning,0.17001217603683472
"The Week India - January 28, 2024",Fashion & Accessories,Women's Fashion,0.3
Bingo Original Style Salt Potato Chips,Grocery & Food,Snacks & Beverages,0.5127195119857788
Pedigree Dog Starter Kit - Dog Food & Treats,Pet Supplies,Dog Supplies,0.5777140855789185
"The Caravan - January, 2024",Party & Events,Event Planning,0.1595570147037506
Beyond Snack Peri Peri Kerala Banana Chips,Grocery & Food,Snacks & Beverages,0.5622802972793579
Kwality Walls Feast Cadbury Crackle Frozen Dessert Stick,Grocery & Food,Snacks & Beverages,0.37945544719696045
Too Yumm Baked Potato Stix Crisps - Pack of 2,Grocery & Food,Snacks & Beverages,0.32601791620254517
4700BC Cheese & Herbs Popped Corn Chips + - Pack of 2,Grocery & Food,Snacks & Beverages,0.39827385544776917
Natureland Cold Pressed Organic Mustard Oil - Pack of 2,Garden & Outdoor,Gardening,0.3636508584022522
Toyshine Unbreakable Automobile Car Toy Vehicle (4 - 8 years),Toys & Games,Kids Toys,0.521007776260376
"Maggi Rich Tomato Sauce (No Onion, No Garlic)",Grocery & Food,Pantry Essentials,0.6222222222222222
Lift-The-Flap Very First Questions And Answers:Why Should I Brush My Teeth?,Fashion & Accessories,Women's Fashion,0.3
Lift-The-Flap Very First Q&A: What is Poo?,Fashion & Accessories,Women's Fashion,0.3
Baby Touch-Colours,Baby Products,Baby Care,0.3991193473339081
"Kid Who Came From Space, The",Fashion & Accessories,Women's Fashion,0.3
Room On The Broom,Home & Personal Care,Household Cleaning,0.5022097826004028
Baby Touch-Peekaboo,Baby Products,Baby Care,0.4313744008541107
"Unstoppable Us, Volume 1",Books & Media,Musical Instruments,0.22385111451148987
Peppa Pig- Sticker Activity,Toys & Games,Video Games,0.3071403503417969
Thea Stilton #05 Thea Stilton And The Mystery In Paris,Fashion & Accessories,Women's Fashion,0.3
Baby Touch-Vehicles,Baby Products,Baby Care,0.4595603942871094
Tiger Who Came To Tea,Fashion & Accessories,Women's Fashion,0.3
Geronimo Stilton #40 The Karate Mouse,Fashion & Accessories,Men's Fashion,0.23923194408416748
Dog Man #01,Pet Supplies,Dog Supplies,0.3150375485420227
Parachute Advansed Deep Nourish Body Lotion - Pack of 2,Sports & Fitness,Exercise Equipment,0.3893813490867615
Where'S Spot? (Spot - Original Lift The Flap),Fashion & Accessories,Women's Fashion,0.3
ENN Glow Ghee Body Lotion,Beauty & Personal Care,Skincare,0.35547327995300293
My Little Book Of Shiva,Books & Media,Books,0.401283323764801
Infino Crispy Chocolate Espresso Ice Cream Stick - Pack of 3,Grocery & Food,Snacks & Beverages,0.43365952372550964
Parachute Advansed Deep Nourish Body Lotion (400 ml) - Pack of 2,Sports & Fitness,Exercise Equipment,0.3751714825630188
4700BC Salt & Truffle Popped Corn Chips + - Pack of 3,Grocery & Food,Snacks & Beverages,0.3600572943687439
Desi Tomato Pack of 4 (Tamatar),Grocery & Food,Pantry Essentials,0.2445792555809021
Green Peas Pack of 4 (Matar),Grocery & Food,Pantry Essentials,0.2677859663963318
Hybrid Tomato Pack of 4 (Tamatar),Baby Products,Baby Care,0.22815997898578644
Onion (1 kg) + Potato 1 kg + Desi Tomato - 500 g Combo,Electronics,Home Appliances,0.3
Amul Buffalo Milk,Baby Products,Baby Care,0.3512173891067505
Onion (1 kg) + Potato - 1 kg + Hybrid Tomato -500 g Combo,Electronics,Home Appliances,0.3
Corn Cob Pack of 3 (Bhutta),Grocery & Food,Pantry Essentials,0.2445874959230423
Lady Finger Pack of 3 (Bhindi),Fashion & Accessories,Women's Fashion,0.34034934639930725
Spinach - Pack of 4 (Palak),Grocery & Food,Snacks & Beverages,0.2763758897781372
Crax Corn Rings Masala Mania Crisps,Grocery & Food,Snacks & Beverages,0.3222222222222222
Crax Cheese Balls - Pack of 2,Baby Products,Baby Care,0.32756948471069336
Too Yumm Classic Salted Wafers Potato Chips - Buy 2 Get 1 Free,Grocery & Food,Snacks & Beverages,0.36730116605758667
Beyond Snack Desi Masala Kerala Banana Chips,Grocery & Food,Snacks & Beverages,0.6200137138366699
Pringles South African Peri Peri Chips - Pack of 2,Smart Home,Smart Devices,0.3
Pringles Tangy Tomato Twist Potato Chips - Pack of 2,Grocery & Food,Snacks & Beverages,0.41731637716293335
Crax Simply Salted Potato Chips,Grocery & Food,Snacks & Beverages,0.6222222222222222
Crax Creamy Onion Potato Chips,Grocery & Food,Snacks & Beverages,0.6222222222222222
Durex Naturals Lubricant,Industrial & Scientific,Industrial Tools,0.3028463125228882
Peanut Gajak by Gulab Pack of 2,Grocery & Food,Pantry Essentials,0.42686164379119873
Kapiva Desi A2 Ghee (Cow),Fashion & Accessories,Women's Fashion,0.3
Azah Groove Personal Massager,Personal Care,Health & Wellness,0.37005096673965454
Manforce XTASY Dotted Condom (Black Grapes Flavour),Jewelry & Watches,Fine Jewelry,0.2700527608394623
"Toyshine Transform Robot Racing Car (Red, 3+ years)",Toys & Games,Kids Toys,0.5145655870437622
Skore Skin Thin Condom - Pack of 2,Automotive,Cars & Motorbike,0.28328248858451843
"Toyshine Transform Robot Racing Car (Blue, 3+ years)",Toys & Games,Kids Toys,0.5533475279808044
Colouring Book Of Shapes,Smart Home,Smart Devices,0.3
Peep Inside The Garden,Garden & Outdoor,Gardening,0.5196385383605957
Peppa Pig- Going On Holiday,Party & Events,Party Supplies,0.2697761058807373
My First Sudha Murty Collection,Home & Personal Care,Household Cleaning,0.28302422165870667
BRB Popped Potato Chips (Spicy Chipotle Flavour),Grocery & Food,Snacks & Beverages,0.43338945508003235
IAMS Proactive Health Dog Dry Food (Adult and Large Breed),Pet Supplies,Dog Supplies,0.45089370012283325
BRB Peri Peri Rice Popped Chips,Grocery & Food,Snacks & Beverages,0.42708516120910645
IAMS Proactive Health Dog Dry Food (Small and Medium Breed),Pet Supplies,Dog Supplies,0.4458498954772949
BRB Popped Potato Chips (Bhel Flavour),Grocery & Food,Snacks & Beverages,0.41081875562667847
BRB Classic Salted Rice Popped Chips,Grocery & Food,Snacks & Beverages,0.5324146747589111
BRB Popped Potato Chips (Salt & Pepper Flavour),Grocery & Food,Snacks & Beverages,0.4497520923614502
BRB Popped Potato Chips (Pasta Cheese Flavour),Grocery & Food,Snacks & Beverages,0.5429654121398926
Nissin Geki - Hot & Spicy Korean Veg Flavoured Instant Noodles,Grocery & Food,Pantry Essentials,0.4668427109718323
Nissin Veggi Manchow Cup Noodles,Grocery & Food,Pantry Essentials,0.4814770221710205
Nissin Mazedar Masala Cup Noodles,Grocery & Food,Pantry Essentials,0.5307468175888062
﻿Nissin Geki Hot & Spicy Korean Veg Flavoured Instant Noodles,Grocery & Food,Pantry Essentials,0.4722878336906433
Moi Soi Veg Long Hakka Noodles - Pack of 3,Grocery & Food,Pantry Essentials,0.3790000379085541
﻿My First Transport Sticker Book,Books & Media,Books,0.31245556473731995
Nissin Geki - Hot & Spicy Korean Chicken Flavoured Instant Noodles,Grocery & Food,Pantry Essentials,0.45047518610954285
Nissin Spiced Chicken Cup Noodles,Grocery & Food,Pantry Essentials,0.4728695750236511
Potato - New Crop + Desi Tomato + Onion 1 kg Combo,Electronics,Home Appliances,0.3
Morphy Richards Stylist Care Hair Dryer (2200 W  HD222DC),Health & Beauty,Hair Care,0.5788028240203857
Onion - 1 kg + Potato 1 kg + Hybrid Tomato Combo,Electronics,Home Appliances,0.3
Onion - 1 kg + Potato - 1 kg + Desi Tomato Combo,Electronics,Home Appliances,0.3
Philips ‎250W Hand Blender,Electronics,Home Appliances,0.6173913043478261
Girnar Masala Instant Tea Premix - Pack of 2,Grocery & Food,Pantry Essentials,0.35175275802612305
