name,category,subcategory,mrp,our_price,quantity,status,stock_count,productid,imageurl,createdat,updatedat,details
"Vega Insta Glam Hair Dryer (1000 W, VHDH-20)",Fashion & Accessories,Footwear,315,,1,,,,,,,
beatXP Gravity Prism Digital Weighing Scale (Blue),Sports & Fitness,Exercise & Fitness,540,,1,,,,,,,
Solara Electric Kettle (1500 W),Electronics,Home Appliances,390,,1,,,,,,,
Black + Decker Steam Iron 1600W (Red),Industrial & Scientific,Industrial Tools,262,,1,,,,,,,
Prestige Pic 20.0 Induction Cooktop (Black),Garden & Outdoor,Outdoor Living,311,,1,,,,,,,
Borosil Chef Delite 300-W Electric Chopper,Electronics,Home Appliances,439,,1,,,,,,,
Black + Decker Cordless Steam Iron 2200W (Green),Sports & Fitness,Sports Accessories,351,,1,,,,,,,
Havells D'zire Dry Iron 1000 W (Mint),Sports & Fitness,Sports Accessories,743,,1,,,,,,,
Philips Multi Grooming 7 in 1 Trimmer Kit (White),Fashion & Accessories,Footwear,338,,1,,,,,,,
Borosil Chefdelite Electric Chopper 260W (White),Garden & Outdoor,Outdoor Living,176,,1,,,,,,,
"Vega 3-In-1 Hair Styler (55 W, VHSCC-01)",Jewelry & Watches,Watches,192,,1,,,,,,,
beatXP PulsePod Mini Handheld Vibration Massager for Head & Neck,Electronics,Audio Devices,480,,1,,,,,,,
"Philips 2-Slice Pop Up Toaster (830 W, White)",Smart Home,Home Automation,525,,1,,,,,,,
beatXP Blaze Electric Body Massager (Black),Personal Care,Health & Wellness,293,,1,,,,,,,
Agaro Electric Hot Water Bag Grey,Sports & Fitness,Sports Accessories,808,,1,,,,,,,
beatXP Bolt Deep Tissue Massager Gun,Personal Care,Health & Wellness,479,,1,,,,,,,
﻿Moi Soi Veg Hakka Noodles,Grocery & Food,Meat & Seafood,225,,1,,,,,,,
﻿KLF Nirmal Virgin Cold Pressed Coconut Hair Oil,Fashion & Accessories,Footwear,210,,1,,,,,,,
﻿101 Tales The Great Panchatantra Collection Of Witty Moral Stories,Books & Media,Books,1395,,1,,,,,,,
﻿Amazon Lite Fire TV Stick with Alexa Voice Remote Lite,Smart Home,Home Automation,235,,1,,,,,,,
﻿Kent Smart Chef Egg Boiler (360 W),Grocery & Food,Dairy & Eggs,800,,1,,,,,,,
Crax Pasta Crunch Chinese Tadka Crisps,Grocery & Food,Meat & Seafood,845,,1,,,,,,,
BRB Popped Potato Chips (Pasta Cheese Flavour) - Pack of 2,Grocery & Food,Bakery & Breakfast,369,,1,,,,,,,
Cheetos Flamin Hot Crunchy Crisps,Grocery & Food,Fresh Produce,248,,1,,,,,,,
RiteBite Max Protein Spanish Tomato Chips,Grocery & Food,Pantry Essentials,440,,1,,,,,,,
Lay's Maxx Sizzling Barbeque Potato Chips - Pack of 2,Garden & Outdoor,Outdoor Living,387,,1,,,,,,,
Yu 100% Whole Wheat Noodles,Grocery & Food,Meat & Seafood,300,,1,,,,,,,
Mama Rice Instant Vermicelli Noodles,Grocery & Food,Pantry Essentials,450,,1,,,,,,,
Manforce Epic Strawberry Flavoured Lubricant - Pack of 2,Sports & Fitness,Sports Accessories,277,,1,,,,,,,
Bold Care Topical Delay Wipes ClockStopper for Men,Personal Care,Baby Care,225,,1,,,,,,,
Skore Strawberry Dotted Condom - Pack of 3,Sports & Fitness,Sports Accessories,277,,1,,,,,,,
Plush Love Glove Multi Textured Condom - Pack of 2,Jewelry & Watches,Fine Jewelry,347,,1,,,,,,,
"The Week India - January 28, 2024",Fashion & Accessories,Footwear,277,,1,,,,,,,
"Open - 29th January, 2024",Party & Events,Event Planning,462,,1,,,,,,,
"The Caravan - January, 2024",Party & Events,Event Planning,380,,1,,,,,,,
Pedigree Dog Starter Kit - Dog Food & Treats,Pet Supplies,Dog Supplies,203,,1,,,,,,,
Kwality Walls Feast Cadbury Crackle Frozen Dessert Stick,Grocery & Food,Bakery & Breakfast,1150,,1,,,,,,,
Beyond Snack Peri Peri Kerala Banana Chips,Grocery & Food,Snacks & Beverages,1043,,1,,,,,,,
Bingo Original Style Salt Potato Chips,Grocery & Food,Snacks & Beverages,699,,1,,,,,,,
4700BC Cheese & Herbs Popped Corn Chips + - Pack of 2,Grocery & Food,Fresh Produce,225,,1,,,,,,,
Too Yumm Baked Potato Stix Crisps - Pack of 2,Grocery & Food,Bakery & Breakfast,372,,1,,,,,,,
Natureland Cold Pressed Organic Mustard Oil - Pack of 2,Garden & Outdoor,Gardening,507,,1,,,,,,,
"Maggi Rich Tomato Sauce (No Onion, No Garlic)",Grocery & Food,Fresh Produce,1104,,1,,,,,,,
Toyshine Unbreakable Automobile Car Toy Vehicle (4 - 8 years),Toys & Games,Kids Toys,95,,1,,,,,,,
Lift-The-Flap Very First Q&A: What is Poo?,Sports & Fitness,Sports Equipment,50,,1,,,,,,,
Lift-The-Flap Very First Questions And Answers:Why Should I Brush My Teeth?,Personal Care,Baby Care,34,,1,,,,,,,
"Kid Who Came From Space, The",Toys & Games,Kids Toys,760,,1,,,,,,,
Baby Touch-Peekaboo,Personal Care,Baby Care,50,,1,,,,,,,
Room On The Broom,Home & Living,Home Improvement,762,,1,,,,,,,
Baby Touch-Colours,Personal Care,Baby Care,285,,1,,,,,,,
Peppa Pig- Sticker Activity,Toys & Games,Games & Puzzles,623,,1,,,,,,,
"Unstoppable Us, Volume 1",Books & Media,Musical Instruments,235,,1,,,,,,,
Thea Stilton #05 Thea Stilton And The Mystery In Paris,Jewelry & Watches,Fine Jewelry,49,,1,,,,,,,
Tiger Who Came To Tea,Pet Supplies,Cat Supplies,376,,1,,,,,,,
Geronimo Stilton #40 The Karate Mouse,Fashion & Accessories,Footwear,180,,1,,,,,,,
Baby Touch-Vehicles,Personal Care,Baby Care,235,,1,,,,,,,
My Little Book Of Shiva,Books & Media,Books,198,,1,,,,,,,
Dog Man #01,Pet Supplies,Dog Supplies,470,,1,,,,,,,
Where'S Spot? (Spot - Original Lift The Flap),Sports & Fitness,Sports Equipment,760,,1,,,,,,,
ENN Glow Ghee Body Lotion,Personal Care,Beauty & Grooming,353,,1,,,,,,,
Parachute Advansed Deep Nourish Body Lotion - Pack of 2,Sports & Fitness,Sports Accessories,63,,1,,,,,,,
Parachute Advansed Deep Nourish Body Lotion (400 ml) - Pack of 2,Sports & Fitness,Sports Accessories,49,,1,,,,,,,
