productId,name,description,price,mrp,quantity,category,subcategory,brand,imageUrl,isAvailable,createdAt,updatedAt
P7156,Onion 1 kg (Pyaz),Onion 1 kg (Pyaz),40,50,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.739803Z,2025-01-11T10:51:47.739803Z
P6318,Desi Tomato (Tamatar),Desi Tomato (Tamatar),19,25,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.740807Z,2025-01-11T10:51:47.740807Z
P6659,Red Carrot (Gajar),Red Carrot (Gajar),15,20,500 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.741302Z,2025-01-11T10:51:47.741302Z
P2046,Ginger (Adrak),Ginger (Adrak),37,49,200 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.742519Z,2025-01-11T10:51:47.742519Z
P8863,Green Chilli (Hari Mirch),Green Chilli (Hari Mirch),11,14,100 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.744744Z,2025-01-11T10:51:47.744744Z
P3715,Green Peas (Matar),Green Peas (Matar),21,27,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.745742Z,2025-01-11T10:51:47.745742Z
P4115,Green Capsicum (Shimla Mirch),Green Capsicum (Shimla Mirch),27,34,250 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.746864Z,2025-01-11T10:51:47.746864Z
P2680,Potato - New Crop (Aloo),Potato - New Crop (Aloo),18,24,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.747801Z,2025-01-11T10:51:47.747801Z
P5682,Hybrid Tomato (Tamatar),Hybrid Tomato (Tamatar),20,26,1 unit,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.748756Z,2025-01-11T10:51:47.748756Z
P9244,Lemon (Nimbu),Lemon (Nimbu),33,45,250 g - 300 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.749740Z,2025-01-11T10:51:47.749740Z
P7083,Button Mushroom,Button Mushroom,39,49,180 g - 200 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.751101Z,2025-01-11T10:51:47.751101Z
P0187,English Cucumber (Kheera),English Cucumber (Kheera),23,29,500 g - 600 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.751101Z,2025-01-11T10:51:47.751101Z
P1920,French Beans,French Beans,14,18,250 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.752113Z,2025-01-11T10:51:47.752113Z
P4411,Lady Finger (Bhindi) (Bhindi),Lady Finger (Bhindi) (Bhindi),28,35,250 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.753113Z,2025-01-11T10:51:47.753113Z
P3313,Green Cucumber (Kheera),Green Cucumber (Kheera),21,28,500 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.754118Z,2025-01-11T10:51:47.754118Z
P8893,Cabbage (Patta Gobhi),Cabbage (Patta Gobhi),15,19,1 piece (400 g - 600 g),Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.754118Z,2025-01-11T10:51:47.754118Z
P8245,Garlic (Lehsun),Garlic (Lehsun),87,113,200 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.755117Z,2025-01-11T10:51:47.755117Z
P2994,Beetroot (Chukandar),Beetroot (Chukandar),17,23,500 g -600 g,Grocery & Food,Fresh Vegetables,Fresho,/api/placeholder/200/200,true,2025-01-11T10:51:47.756117Z,2025-01-11T10:51:47.756117Z
