name,category,subcategory,mrp,dmart_price,unit
Godrej Genteel Matic Liquid Detergent Top Load Pouch : 2 kg,Uncategorized,,,290.0,2 Kg
Star Bright Matic Liquid Detergent Top Load : 2 L,Uncategorized,,,330.0,
BECO Natural Laundry Liquid - Front Load : 2 Litre,Uncategorized,,,450.0,
Star Bright Matic Liquid Detergent Front Load : 2 L,Uncategorized,,,370.0,
Godrej Fab Liquid Detergent Pouch : 2 L,Uncategorized,,,225.0,
Tide Matic Front Load Liquid Detergent : 3.2 L,Uncategorized,,,505.0,
Tide Matic Liquid Front Load : 2 Litres,Uncategorized,,,430.0,
Revive Liquid Stiffener : 400 gms,Uncategorized,,,155.0,400 g
Ujala Supreme Fabric Whitener : 250 ml,Uncategorized,,,80.0,250 ml
Henko Matic Lintelligent Front Load Liquid Detergent Pouch : 2 Litres,Uncategorized,,,490.0,
Henko Matic Lintelligent Top Load Liquid Detergent Pouch : 2 Litres,Uncategorized,,,430.0,
Pril Lime Dishwash Liquid : 225 ml,Uncategorized,,,55.0,225 ml
Rin Advanced Detergent Powder : 7 kgs,Uncategorized,,,740.0,7 Kg
Star Bright Detergent Powder : 5 kgs,Uncategorized,,,500.0,5 kg
Surf Excel Matic Front Load Detergent Powder : 6 kgs,Uncategorized,,,1475.0,6 kg
Ariel Complete Detergent Powder : 2 kgs,Uncategorized,,,800.0,2 kg
Surf Excel Matic Top Load Detergent Powder : 6 kgs,Uncategorized,,,1375.0,6 kg
Tide Naturals Detergent Powder Lemon & Chandan : 800 gms,Uncategorized,,,85.0,800 g
Vanish Oxi Action Stain Remover : 400 gms,Uncategorized,,,240.0,400 g
Mr. White Detergent Powder : 5 kgs,Uncategorized,,,620.0,5 kg
Wipro Safewash Front Load Liquid Detergent Pouch : 2 Litres,Uncategorized,,,490.0,
Tide Matic Top Load Liquid Detergent : 3.2 L,Uncategorized,,,449.0,
Henko Matic Lintelligent Top Load Detergent Powder : 2 kgs,Uncategorized,,,540.0,2 kg
Patanjali Neem & Rose Detergent Powder : 1 kg,Uncategorized,,,70.0,1 kg
Ariel Colour Detergent Powder : 1 kg,Uncategorized,,,342.0,1 kg
Rin Antibac Detergent Powder : 1 kg,Uncategorized,,,126.0,1 kg
Tide Detergent Bar : 4x200 g,Uncategorized,,,115.0,200 g
Ghadi Detergent Cake : 5x250 gms,Uncategorized,,,92.0,250 g
Tide Blue Detergent Bar : 80 gms,Uncategorized,,,10.0,80 g
Jaldi Detergent Soap : 150 gms,Uncategorized,,,18.0,150 g
Sof n Fluffy Fabric Conditioner Refill Pack : 2 Litres,Uncategorized,,,450.0,
Sof N Fluffy Fabric Conditioner : 800 ml,Uncategorized,,,200.0,800 ml
Wipro Softouch 2x French Perfume Fabric Conditioner : 200 ml,Uncategorized,,,58.0,200 ml
Wipro Softouch French Perfume Fabric Conditioner : 800 ml,Uncategorized,,,235.0,800 ml
Comfort Royale Fabric Conditioner : 210 ml,Uncategorized,,,65.0,210 ml
Wipro Safewash Liquid Detergent : 1 kg,Uncategorized,,,300.0,1 kg
