name,category,subcategory,mrp,dmart_price,unit
WOW Skin Science Vit C Foaming Face Wash With Brush : 150 ml,Cleaning Tools,brush,,399.0,150 ml
Vega Round Hair Brush (E8-RB) Black : 1 Unit,Cleaning Tools,brush,,299.0,
Vega Cushioned Hair Brush (E18-CB) Black : 1 Unit,Cleaning Tools,brush,,375.0,
Vega Professional Dye Hair Brush (PMB-01) : 1 Unit,Cleaning Tools,brush,,89.0,
Roots Hair Brush (9886) Paddle - Black & Silver : 1 Unit,Cleaning Tools,brush,,445.0,
Roots Hair Brush (9543) Small - Black & Silver : 1 Unit,Cleaning Tools,brush,,295.0,
Vega Mini - Flat Hair Brush (R5-FB) Black : 1 Unit,Cleaning Tools,brush,,199.0,
Vega Paddle Hair Brush Regular (8586) Black : 1 Unit,Cleaning Tools,brush,,425.0,
Vega Paddle Hair Brush (E11-PB) Red : 1 Unit,Cleaning Tools,brush,,350.0,
Roots Hair Brush (BWR66) Oval - Brown : 1 Unit,Cleaning Tools,brush,,395.0,
Zodiac Round Hair Brush - Assorted : 1 Unit,Cleaning Tools,brush,,199.0,
Vega Flat Hair Brush (E8-FB) Black : 1 Unit,Cleaning Tools,brush,,299.0,
Roots Hair Brush (9511) Small - Black & Silver : 1 Unit,Cleaning Tools,brush,,295.0,
Roots Hair Brush (GG06: PL) Small Ovale - Purple : 1 Unit,Cleaning Tools,brush,,245.0,
Roots Hair Brush (WDR13)  Round - Brown : 1 Unit,Cleaning Tools,brush,,395.0,
Roots Hair Brush (SLV85) Rectangle - Silver : 1 Unit,Cleaning Tools,brush,,425.0,
Roots Hair Brush  9 (WDR44) Flat - Brown : 1 Unit,Cleaning Tools,brush,,425.0,
Roots Hair Brush  (RZTP:SG) Paddle - Silver Glitter : 1 Unit,Cleaning Tools,brush,,395.0,
Roots Hair Brush  (RZTR:HL) Rectangle - multicolor : 1 Unit,Cleaning Tools,brush,,445.0,
Roots Hair Brush  (RZTO:RP) Ovale - Red & white : 1 Unit,Cleaning Tools,brush,,475.0,
Sensodyne Sensitive Soft Toothbrush : 4 Pieces,Cleaning Tools,brush,,160.0,4 pc
Colgate Ultra Soft Sensitive Toothbrush: 4 Units,Cleaning Tools,brush,,160.0,
OralDent Deep Clean Sensitive Toothbrush : 4 Units,Cleaning Tools,brush,,99.0,
Oral-B Cavity Defence Soft Toothbrush : 6 Units,Cleaning Tools,brush,,135.0,
Oral-B Gum Care Medium Toothbrush,Cleaning Tools,brush,,190.0,
Colgate Zigzag Medium Toothbrush: 6 Units,Cleaning Tools,brush,,135.0,
Sensodyne Soft Toothbrush : 2 Units,Cleaning Tools,brush,,130.0,
Colgate Slim Soft Charcoal Toothbrush: 2 Units,Cleaning Tools,brush,,180.0,
Oral-B Sensitive Care Extra Soft Toothbrush : 5 U,Cleaning Tools,brush,,135.0,
Colgate Zig Zag Charcoal Medium Toothbrush: 4 Units,Cleaning Tools,brush,,120.0,
Colgate Zigzag Soft Toothbrush: 6 Units,Cleaning Tools,brush,,135.0,
Oral-B Pro Health Gum Care Soft Toothbrush,Cleaning Tools,brush,,190.0,
Oral-B Kids 2+ Years Toothbrush,Cleaning Tools,brush,,60.0,
Oraldent Kids Toothbrush (2+ Years) : 3 Units,Cleaning Tools,brush,,60.0,
Oraldent Deep Clean Medium Toothbrush : 4 Units,Cleaning Tools,brush,,64.0,
Caresmith Spark one Electric Toothbrush -White :1 Unit,Cleaning Tools,brush,,1100.0,
Colgate Kids Superhero Extra Soft Toothbrush (5+ Years) : 1 Unit,Cleaning Tools,brush,,89.0,
Colgate Kids Barbie Extra Soft Toothbrush (5+ Years) : 1 Unit,Cleaning Tools,brush,,89.0,
Colgate Visible White Ultra Soft Toothbrush : 2 Unit,Cleaning Tools,brush,,250.0,
Oraldent Deep Clean Soft Toothbrush : 4 Units,Cleaning Tools,brush,,64.0,
Colgate Gentle Sensitive Ultra Soft Toothbrush : 1 Unit,Cleaning Tools,brush,,65.0,
Oral Dent Bamboo Toothbrush : 2 Units,Cleaning Tools,brush,,99.0,
Colgate Slim Soft Advansed Tooth Brush,Cleaning Tools,brush,,120.0,
BECO Bamboo Toothbrush : 1 Unit,Cleaning Tools,brush,,90.0,
Oral-B Pro Health Medium Toothbrush,Cleaning Tools,brush,,160.0,
Sensodyne Deep Clean Toothbrush : 2 Units,Cleaning Tools,brush,,160.0,
Colgate Zigzag Neem Medium Toothbrush : 3 U,Cleaning Tools,brush,,99.0,
Colgate Zigzag Neem Soft Toothbrush : 3 Units,Cleaning Tools,brush,,99.0,
Lexiis LXCH-006  Copper Tongue Cleaner - Round Handle : 1 Unit,Cleaning Tools,cleaner,,239.0,
Lexiis LXCH-007 Stainless Steel Tongue Cleaner - Round Handle : 1 Unit,Cleaning Tools,cleaner,,144.0,
Lexiis LXCH-004 Copper Tongue Cleaner : 1 Unit,Cleaning Tools,cleaner,,119.0,
Copper Tongue Cleaner : 1 Unit,Cleaning Tools,cleaner,,45.0,
