name,category,subcategory,mrp,dmart_price,unit
Nivea Men Oil Control Facewash : 100 gms,Clothing,men,,249.0,100 g
Emami Fair And Handsome Cream For Men : 60 gms,Clothing,men,,175.0,60 g
L'Oreal Paris Revitalift Cream For Women : 50 ml,Clothing,men,,999.0,50 ml
L'Oreal Paris Revitalift Cream For Women : 15 ml,Clothing,men,,529.0,15 ml
Emami Fair And Handsome Radiance Cream For Men  : 30 gms,Clothing,men,,90.0,30 g
mCaffeine Milky Brew Latte Gift Set For Men & Women : 1 Unit,Clothing,men,,1006.0,
mCaffeine Coffee De-Stress Gift Set For Men & Women : 1 Unit,Clothing,men,,1192.0,
Faces Canada Longwear Eye Pencil - Solid Black : 1.2 gms,Clothing,wear,,399.0,2 g
Lakme True Wear Nail Color Crush - 14 : 6 ml,Clothing,wear,,125.0,6 ml
Park Avenue Luxury Men's Soap : 4x125 gms,Clothing,men,,320.0,125 g
Nivea Men Active Clean Shower Gel : 500 ml,Clothing,men,,549.0,500 ml
Nivea Men Pure Impact Shower Gel : 250 ml,Clothing,men,,275.0,250 ml
Candid 2 in 1 Prickly Heat Relief Menthol Cooling Powder : 120 gms,Clothing,men,,120.0,120 g
Emami Mentho Plus Balm : 8 ml,Clothing,men,,42.0,8 ml
Head & Shoulders Anti-Dandruff Cool Menthol Shampoo : 650 ml,Clothing,men,,989.0,650 ml
Mediker Anti-Lice Treatment Shampoo : 50 ml,Clothing,men,,55.0,50 ml
Garnier Men Shampoo Color 1.0 Natural Black - 10 ml +10 ml : 1 Unit,Clothing,men,,35.0,10 ml
Sirona Blink & Glow Facial Razor For Women : 1 Unit,Clothing,men,,99.0,
Zlade Ballistic TURBO 3.0 Full-Body Manscaping Trimmer For Men - Black : 1 Unit,Clothing,men,,3999.0,
Gillette Shaving Foam - Menthol : 196 gms,Clothing,men,,199.0,196 g
Garnier Men Turbo Bright Double Action Face Wash : 100 gms,Clothing,men,,269.0,100 g
Garnier Men Oil Clear Deep Cleansing Facewash : 100 gms,Clothing,men,,249.0,100 g
Garnier Men Acno Fight Face Wash : 100 gms,Clothing,men,,249.0,100 g
Garnier Men Turbo Bright Face Wash : 100 gms,Clothing,men,,249.0,100 g
Pond's Men Acno Clear Oil Control Facewash : 100 gms,Clothing,men,,275.0,100 g
Nivea Men Fresh Active Deodorant : 150 ml,Clothing,men,,285.0,150 ml
Kamasutra Spark Men Deodorant : 150 ml,Clothing,men,,230.0,150 ml
Yardley Gold Body Spray For Men : 150 ml,Clothing,men,,225.0,150 ml
Yardley Gentleman Classic Spray For Men : 150 ml,Clothing,men,,225.0,150 ml
Brut Sport Style Men's Deodorant : 200 ml,Clothing,men,,399.0,200 ml
Nivea Men Cool Kick Deodorant : 150 ml,Clothing,men,,299.0,150 ml
Kamasutra Urge Men Deodorant : 150 ml,Clothing,men,,230.0,150 ml
Ajmal Raindrops Women's Parfum Deodorant : 150 ml,Clothing,men,,250.0,150 ml
Kamasutra Dare Men Deodorant : 150 ml,Clothing,men,,230.0,150 ml
Beverly Hills Polo Club Sport No.9 Eau Men's De Toilette : 50 ml,Clothing,men,,699.0,50 ml
Beverly Hills Polo Club Sport No.8 Eau Men's De Toilette : 50 ml,Clothing,men,,699.0,50 ml
Soulflower Bespoke Men Parfum - 3x25 ml : 1 Unit,Clothing,men,,900.0,
Nivea Men Fresh Active Roll-On : 50 ml,Clothing,men,,249.0,50 ml
Nivea Men Deep Impact Freshness Roll-On : 50 ml,Clothing,men,,249.0,50 ml
Nivea Men Cool Kick Roll-On : 50 ml,Clothing,men,,249.0,50 ml
Fogg Paradise Fragrant Body Spray For Women : 150 ml,Clothing,men,,275.0,150 ml
Engage Blush Women Deodorant : 150 ml,Clothing,men,,220.0,150 ml
Engage Nature Berry Bloom Women Deo Spray : 150 ml,Clothing,men,,249.0,150 ml
Engage Tease Women Deodorant : 150 ml,Clothing,men,,220.0,150 ml
Engage Drizzle Women Deodorant : 150 ml,Clothing,men,,220.0,150 ml
Police To Be Deodorant Body Spray For Women : 200 ml,Clothing,men,,449.0,200 ml
Beverly Hills Polo Club For Women Eau De Parfum No. 8 : 50 ml,Clothing,men,,699.0,50 ml
La French Cuddle Women Eau De Perfume : 30 ml,Clothing,men,,299.0,30 ml
Beverly Hills Polo Club For Women Eau De Parfum No. 2 : 50 ml,Clothing,men,,699.0,50 ml
Tiger Balm Red Ointment : 21 ml,Clothing,men,,93.0,21 ml
Tiger Balm White Ointment : 21 ml,Clothing,men,,93.0,21 ml
Zlade Summer Intimate Body Trimmer For Women - Pink : 1 Unit,Clothing,men,,2999.0,
