name,category,subcategory,mrp,dmart_price,unit
Nivea Milk Delight Saffron Face Wash : 100 ml,Lighting & Electrical,light,,230.0,100 ml
The Face Shop Rice Water Bright Light Cleansing Oil : 55 ml,Lighting & Electrical,light,,549.0,55 ml
Pond's Super Light Gel Oil Fresh Moisturiser : 200 ml,Lighting & Electrical,light,,499.0,200 ml
Pond's Light Non-Oily Moisturiser Skin Cream : 200 ml,Lighting & Electrical,light,,449.0,200 ml
Pond's Super Light Skin Gel : 98 gms,Lighting & Electrical,light,,259.0,98 g
Simple Hydrating Light Moisturiser : 125 ml,Lighting & Electrical,light,,465.0,125 ml
Pond's Light Moisturiser Cream : 50 ml,Lighting & Electrical,light,,120.0,50 g
Skin Fx Detan & Lightening Serum Mask : 20 g,Lighting & Electrical,light,,149.0,20 g
Cetaphil Sunscreen SPF 50+ Light Gel : 50 ml,Lighting & Electrical,light,,1182.0,50 ml
Cetaphil Sunscreen SPF 30 Light Gel : 100 ml,Lighting & Electrical,light,,1200.0,100 ml
Color Fx Twilight 155 Nail Enamel : 9 ml,Lighting & Electrical,light,,299.0,
Renee Fab 3 in 1 Highlighter : 4.5 gms,Lighting & Electrical,light,,750.0,5 g
