name,category,subcategory,mrp,dmart_price,unit
Pond's White Beauty BB Fairness Cream 01 Original : 18 gms,Personal Care & Beauty,beauty,,165.0,18 g
Soulflower Kumkumadi Night Beauty Elixir : 12 ml,Personal Care & Beauty,beauty,,1000.0,12 ml
Pond's Bright Beauty Face Scrub : 100 gms,Personal Care & Beauty,beauty,,225.0,100 g
mCaffeine Coffee Moment Skin Care Gift Set For Men & Women : 1 Unit,Personal Care & Beauty,skin care,,1445.0,
Plum Body Lovin Vanilla Vibes Bath & Body Gift Set : 3 U,Personal Care & Beauty,bath,,749.0,
Soulflower Hexagon Bath Set with Lavender : 1 Unit,Personal Care & Beauty,bath,,1500.0,
Soulflower Heart Bath Set With Rose : 1 Unit,Personal Care & Beauty,bath,,2000.0,
Lakme Absolute Blur Perfect Makeup Primer : 10 gms,Personal Care & Beauty,makeup,,299.0,10 g
Renee Makeup Removal Wipes : 30 Wipes,Personal Care & Beauty,makeup,,250.0,
Lakme Face It Compact - Coral : 9 gms,Personal Care & Beauty,oral,,225.0,
Lotus Make-Up Xpress Glow 10-In-1 Daily Beauty Creme : 30 gms,Personal Care & Beauty,beauty,,390.0,30 g
Lotus Make-Up Xpress Glow 10-in-1 Beauty Cream SPF 25 : 30 gms,Personal Care & Beauty,beauty,,390.0,30 g
Faces Canada Mini Nail Enamel - Floral Dream : 5 ml,Personal Care & Beauty,oral,,75.0,
Faces Canada Hydro Makeup Remover : 100 ml,Personal Care & Beauty,makeup,,479.0,100 ml
Grace Gentle Touch Beauty Soap Rose Oil & Moisturiser : 3x150 gms,Personal Care & Beauty,beauty,,165.0,150 g
Lux Flaw-Less Glow Jasmine & Vitamin C+E Beauty Soap : 3x150 gms,Personal Care & Beauty,beauty,,179.0,150 g
Grace Beauty Soap With Jasmine Oil & Moisturiser : 3x150 gms,Personal Care & Beauty,beauty,,165.0,150 g
Pears Soft & Fresh Bathing Bar : 4x125 gms,Personal Care & Beauty,bath,,350.0,125 g
Grace Lime Fresh Beauty Soap :  3x150 gms,Personal Care & Beauty,beauty,,150.0,150 g
Tedibar Bathing Bar : 2x75 gms,Personal Care & Beauty,bath,,374.0,75 g
Soulflower Aroma Therapy Lavender Bath Salt : 500 gms,Personal Care & Beauty,bath,,450.0,500 g
Soulflower Rose Geranium Bath Salt : 500 gms,Personal Care & Beauty,bath,,450.0,500 g
Tedibar Bathing Bar : 75 gms,Personal Care & Beauty,bath,,199.0,75 g
Neutrogena Rainbath Shower & Bath Gel : 473 ml,Personal Care & Beauty,bath,,1090.0,473 ml
Axe 3 In 1 Sport Blast Energizing Citrus Boost Scent Body Face & Hair Wash : 250 ml,Personal Care & Beauty,hair,,239.0,250 ml
Subhra Herbal Bath Powder : 450 gms,Personal Care & Beauty,bath,,70.0,450 g
Dove Hair Fall Rescue Shampoo : 650 ml,Personal Care & Beauty,hair,,930.0,650 ml
Head & Shoulders Anti-Hairfall Shampoo : 650 ml,Personal Care & Beauty,hair,,989.0,650 ml
Pantene Pro-V Hair Fall Control Shampoo : 650 ml,Personal Care & Beauty,hair,,899.0,650 ml
Pantene Pro-V Hairfall Control Shampoo + Conditioner : 650 ml,Personal Care & Beauty,hair,,1099.0,650 ml
Himalaya Anti Hair Fall Shampoo : 180 ml,Personal Care & Beauty,hair,,160.0,180 ml
Biotique Ocean Kelp Anti Hair Fall Shampoo : 650 ml,Personal Care & Beauty,hair,,625.0,650 ml
Himalaya Anti-Hair Fall Shampoo : 650 ml,Personal Care & Beauty,hair,,689.0,650 ml
Plum Onion & Biotin Hair Fall Control Shampoo : 250 ml,Personal Care & Beauty,hair,,349.0,250 ml
Nyle Naturals Anti-Hairfall Shampoo : 800 ml,Personal Care & Beauty,hair,,489.0,800 ml
WOW Onion + Collagen Anti-Hairfall Shampoo : 250 ml,Personal Care & Beauty,hair,,374.0,250 ml
Chik Hairfall Prevent Egg White Shampoo : 340 ml,Personal Care & Beauty,hair,,260.0,340 ml
Soulflower Rosemary Hair Care Heart Set : 1 Unit,Personal Care & Beauty,hair,,2000.0,
Clensta Eggstreme Hair Repair Shampoo : 250 ml,Personal Care & Beauty,hair,,349.0,250 ml
Pilgrim Advanced Hair Growth Serum : 30 ml,Personal Care & Beauty,hair,,545.0,30 ml
Mamaearth Onion Conditioner For Hairfall Control : 250 ml,Personal Care & Beauty,hair,,349.0,250 ml
Indulekha Bringha Ayurvedic Hair Oil : 100 ml,Personal Care & Beauty,hair,,468.0,100 ml
Dabur Almond Hair Oil : 485 ml,Personal Care & Beauty,hair,,315.0,485 ml
Parachute Advanced Jasmine Hair Oil : 300 ml,Personal Care & Beauty,hair,,142.0,300 ml
Emami Kesh King Scalp & Hair Medicine Oil : 200 ml,Personal Care & Beauty,hair,,375.0,200 ml
Dabur Amla Hair Oil : 450 ml,Personal Care & Beauty,hair,,225.0,450 ml
Parachute Advansed Aloe Vera Coconut Hair Oil : 250 ml,Personal Care & Beauty,hair,,135.0,250 ml
WOW Castor Oil For Hair & Skin : 200 ml,Personal Care & Beauty,hair,,399.0,200 ml
Dabur Vatika Enriched Coconut Hair Oil : 300 ml,Personal Care & Beauty,hair,,180.0,300 ml
Dabur Vatika Enriched Coconut Hair Oil : 450 ml,Personal Care & Beauty,hair,,299.0,450 ml
Mamaearth Onion Hair Oil With Redensyl : 150 ml,Personal Care & Beauty,hair,,419.0,150 ml
Plum Onion & Bhringraj Hair Growth Oil : 100 ml,Personal Care & Beauty,hair,,325.0,100 ml
Parachute Advansed Ayurvedic Coconut Hair Oil : 180 ml,Personal Care & Beauty,hair,,125.0,180 ml
Parachute Advansed Aloe Vera Hair Oil : 150 ml,Personal Care & Beauty,hair,,79.0,150 ml
Dabur Amla Hair Oil : 180 ml,Personal Care & Beauty,hair,,99.0,180 ml
Soulflower Tea Tree Anti-Dandruff Hair Oil : 120 ml,Personal Care & Beauty,hair,,275.0,120 ml
Aswini Homeo Arnica Hair Oil : 360 ml,Personal Care & Beauty,hair,,283.0,360 ml
Aswini Homeo Arnica Hair Oil : 180 ml,Personal Care & Beauty,hair,,146.0,180 ml
Soulflower Herbal Onion Hair Oil : 120 ml,Personal Care & Beauty,hair,,450.0,120 ml
Garnier Color Naturals 3 Darkest Brown Hair Colour - 60ml+50gm : 1 Unit,Personal Care & Beauty,hair,,219.0,
Garnier Color Naturals 1 Black Hair Colour - 60 ml + 50 gms : 1 Unit,Personal Care & Beauty,hair,,219.0,
Garnier Color Naturals 4 Brown Hair Colour - 60 ml + 50 gms : 1 Unit,Personal Care & Beauty,hair,,219.0,
Garnier Black Naturals Natural Brown 4.0 Hair Colour : 20 ml + 20 gms,Personal Care & Beauty,hair,,45.0,20 ml
Godrej Expert Rich Creme Natural Black 1 Hair Colour : 20 gms,Personal Care & Beauty,hair,,40.0,20 g
Indica Easy Natural Black 1 Hair Color : 25 ml,Personal Care & Beauty,hair,,40.0,25 ml
Godrej Expert Rich Creme Hair 4.06 Colour Dark Brown : 20 gms,Personal Care & Beauty,hair,,40.0,20 g
Godrej Expert Rich Creme Hair Colour 3 Black Brown : 20 gms,Personal Care & Beauty,hair,,40.0,20 g
Godrej Expert Rich Creme Natural Brown 4 Hair Colour : 20 gms,Personal Care & Beauty,hair,,37.0,20 g
Garnier Ultra Hair Color  7.3 Golden Brown - 55 ml + 50 gms : 1 Unit,Personal Care & Beauty,hair,,249.0,
Godrej Expert Natural Black Hair Colour : 18 ml,Personal Care & Beauty,hair,,30.0,18 ml
Garnier Black Naturals 3.16 Burgundy Hair Colour : 20 ml + 20 gms,Personal Care & Beauty,hair,,45.0,20 ml
Garnier Ultra Hair Color 6.26 Plum Red - 55 ml + 50 gm : 1 Unit,Personal Care & Beauty,hair,,249.0,
Schwarzkopf Simply Hair Color 1.00 Jet Black Kit : 142.5 ml,Personal Care & Beauty,hair,,725.0,5 ml
Schwarzkopf Color Specialist Hair Color 6.88 Rich Ruby : 165 ml,Personal Care & Beauty,hair,,675.0,165 ml
Schwarzkopf Color Specialist Hair Colour 1.0 Opulent Black : 165 ml,Personal Care & Beauty,hair,,675.0,165 ml
Plum Olive & Macadamia Moisturizing Hair Mask : 250 gms,Personal Care & Beauty,hair,,675.0,250 g
Plum Coconut & Peptides Strength & Shine Hair Mask : 200 gms,Personal Care & Beauty,hair,,550.0,200 g
Mancode Daily Hair Styling Cream Argan Oil : 100 gms,Personal Care & Beauty,hair,,350.0,100 g
Mancode Hair Styling Powder : 20 gms,Personal Care & Beauty,hair,,499.0,20 g
Livon Anti-frizz Hair Serum : 100 ml,Personal Care & Beauty,hair,,325.0,100 ml
Streax Hair Serum : 100 ml,Personal Care & Beauty,hair,,299.0,100 ml
Greenleaf Anti Hair Fall Hair Serum : 100 ml,Personal Care & Beauty,hair,,500.0,100 ml
Veet Silk and Fresh Hair Removal Cream - Normal Skin : 100 gms,Personal Care & Beauty,hair,,299.0,100 g
Mancode Hair Removal Spray : 200 ml,Personal Care & Beauty,hair,,599.0,200 ml
Gillette Venus Bikini Sensitive Hair Removal Razor : 1 Unit,Personal Care & Beauty,hair,,165.0,
Sirona Talc-Free Hair Removal Cream For Dry & Sensitive Skin : 50 gm,Personal Care & Beauty,hair,,149.0,50 g
Veet Normal Skin Hair Removal Cream : 25 gms,Personal Care & Beauty,hair,,99.0,25 g
Veet Silk and Fresh Hair Removal Cream - Dry Skin : 50 gms,Personal Care & Beauty,hair,,159.0,50 g
Hand Aid Skin Care Liquid Handwash : 750 ml,Personal Care & Beauty,skin care,,135.0,750 ml
Dettol Liquid Handwash Pump - Skin Care : 200 ml,Personal Care & Beauty,skin care,,99.0,200 ml
Zlade Ballistic Nose & Ear Hair Trimmer - Black : 1 Unit,Personal Care & Beauty,hair,,999.0,
Fogg Royal Fragrance Body Spray : 150 ml,Personal Care & Beauty,fragrance,,275.0,150 ml
Fogg Dynamic Fragrance Body Spray : 120 ml,Personal Care & Beauty,fragrance,,299.0,120 ml
Fogg Extreme Fragrance Body Spray : 120 ml,Personal Care & Beauty,fragrance,,299.0,120 ml
Axe Dark Temptation Chocolate Fragrance Deodorant : 215 ml,Personal Care & Beauty,fragrance,,350.0,215 ml
Fogg Fragrance Rush Body Spray : 150 ml,Personal Care & Beauty,fragrance,,299.0,150 ml
Fogg Fragrance Punch Body Spray - 150 ml : 1 Unit,Personal Care & Beauty,fragrance,,299.0,150 ml
Realman Manly Fragrance Thrill Deodorant Body Spray : 200 ml,Personal Care & Beauty,fragrance,,299.0,200 ml
Nivea Pearl & Beauty Deodorant : 150 ml,Personal Care & Beauty,beauty,,285.0,150 ml
Renee Premium Fragrances :  4 x 15 ml,Personal Care & Beauty,fragrance,,999.0,15 ml
Fogg Beauty Secret Women Perfume : 100 ml,Personal Care & Beauty,beauty,,650.0,100 ml
Philips Hair Dryer HP8142 : 1000 W,Personal Care & Beauty,hair,,995.0,
Vega Hair Dryer VHDH-05 : 1000 W,Personal Care & Beauty,hair,,999.0,
Vega Glow Glam Hair Dryer (VHDH-26) Black : 1000W,Personal Care & Beauty,hair,,899.0,
Vega Style Pro Hair Dryer (VHDH-27) Purple : 1000W,Personal Care & Beauty,hair,,999.0,
Vega 3 In 1 Hair Styler - VHSCC01 : 1 Unit,Personal Care & Beauty,hair,,1999.0,
Philips HP8302/06 Hair Straightener : 1 Unit,Personal Care & Beauty,hair,,1495.0,
Vega Shine-On Hair Straightener (VHSH-34) Black & Turquoise : 1 Unit,Personal Care & Beauty,hair,,1199.0,
Caresmith Bloom Face & Body Hair Trimmer - Green :1 Unit,Personal Care & Beauty,hair,,2300.0,
