name,category,subcategory,mrp,dmart_price,unit
Himalaya Purifying Neem Face Wash : 200 ml,Uncategorized,,,325.0,200 ml
Ayurmix Neem Face Wash : 200 ml,Uncategorized,,,160.0,200 ml
Cetaphil Gentle Skin Cleanser : 500 ml,Uncategorized,,,1049.0,500 ml
Clean & Clear Foaming Facewash : 240 ml,Uncategorized,,,430.0,240 ml
Cetaphil Oily Skin Cleanser : 125 ml,Uncategorized,,,649.0,125 ml
Everyuth Naturals Brightening Lemon & Cherry Face Wash : 150 gms,Uncategorized,,,205.0,150 g
Garnier Bright Complete Face Wash - Lemon : 100 gms,Uncategorized,,,209.0,100 g
Garnier Bright Complete Vitamin C Face Wash : 150 g,Uncategorized,,,349.0,150 g
Skin Fx Superfood Coffee Shot Anti Acne Foaming Face Wash : 100 ml,Uncategorized,,,299.0,100 ml
Ayurmix Purifying Neem Face Wash : 150 ml,Uncategorized,,,130.0,150 ml
The Face Shop Rice Water Bright Foaming Cleanser : 150 Ml,Uncategorized,,,899.0,150 ml
Clean & Clear Morning Energy Berry Face Wash : 150 ml,Uncategorized,,,260.0,150 ml
Cetaphil Hydrating Foaming Cream Cleanser : 236 ml,Uncategorized,,,890.0,236 ml
Cetaphil Brightness Reveal Creamy Cleanser : 100 gms,Uncategorized,,,700.0,100 g
Glow & Lovely Facewash Instant Glow : 100 gms,Uncategorized,,,160.0,100 g
Neutrogena Oil-Free Acne Wash : 175 ml,Uncategorized,,,795.0,175 ml
Everyuth Natural Tulsi & Turmeric Face Wash : 150 gms,Uncategorized,,,205.0,150 g
Lotus Herbals Apriscrub Fresh Apricot Scrub : 100 gms,Uncategorized,,,235.0,100 g
Lotus Herbals Oatmeal & Yogurt Skin Whitening Scrub : 100 gms,Uncategorized,,,310.0,100 g
mCaffeine Coffee Face Wash : 75 ml,Uncategorized,,,229.0,75 ml
Pilgrim Vitamin C Gel Face Wash : 100 ml,Uncategorized,,,250.0,100 ml
Mamaearth Vitamin C Face Wash For Skin Illumination : 100 ml,Uncategorized,,,269.0,100 ml
The Derma Co 1% Salicylic Acid Gel Face Wash For Active Acne : 100 ml,Uncategorized,,,299.0,100 ml
Simple Refreshing Facial Wash : 150 ml,Uncategorized,,,399.0,150 ml
Dot & Key Ceramides & Hyaluronic Skin Barrier Repair Face Cream : 100 gms,Uncategorized,,,395.0,100 g
Plum Salicylic Acid Face Wash : 110 ml,Uncategorized,,,325.0,110 ml
Plum Saffron & Papaya Glow Bright Face Wash : 100 ml,Uncategorized,,,249.0,100 ml
VLCC Insta Glow Gold Bleach Cream : 60 gms,Uncategorized,,,140.0,60 g
Dot & Key Watermelon Superglow Gel Face Wash : 100 ml,Uncategorized,,,249.0,100 ml
Lotus Whiteglow 3 In 1 Deep Cleansing Whitening Facial Foam : 100 gms,Uncategorized,,,285.0,100 g
Lotus Herbals Teatreewash Tea & Cinnamon Face Wash : 120 gms,Uncategorized,,,235.0,120 g
The Face Shop Rice Water Bright Foaming Cleanser Combo : 2 Unit,Uncategorized,,,370.0,
Dot & Key Barrier Repair + Hydrating Gentle Face Wash : 100 ml,Uncategorized,,,249.0,100 ml
Neutrogena Oil-Free Acne Wash - Pink Grapefruit : 175 ml,Uncategorized,,,855.0,175 ml
VLCC Serum Face Wash Vitamin C Serum & Mulberry : 100 ml,Uncategorized,,,165.0,100 ml
mCaffeine Green Tea Face Wash Vitamin C : 110 ml,Uncategorized,,,299.0,110 ml
Dot & Key Cica Calming Blemish Clearing Face Wash : 100 ml,Uncategorized,,,249.0,100 ml
Soulflower Kumkumadi Face Wash : 100 ml,Uncategorized,,,350.0,100 ml
Lakme Blush & Glow Strawberry Freshness Gel Facewash : 100 gms,Uncategorized,,,269.0,100 g
Simple Moisturising Facial Wash : 150 ml,Uncategorized,,,385.0,150 ml
Clean & Clear Foaming Facewash : 100 ml,Uncategorized,,,180.0,100 ml
Mamaearth Tea Tree Face Wash For Acne & Pimples : 100 ml,Uncategorized,,,269.0,100 ml
Nykaa Naturals Saffron & Honey Glowing Face Wash : 100 ml,Uncategorized,,,159.0,100 ml
Pilgrim Tea Tree Purifying Gel Face Wash : 100 ml,Uncategorized,,,250.0,100 ml
Himalaya Kesar Face Wash : 150 ml,Uncategorized,,,240.0,150 ml
Aqualogica Detan+ Face Wash - Cherry Tomato & Glycolic Acid : 100 ml,Uncategorized,,,249.0,100 ml
Nykaa Naturals Tea Tree & Neem Purifying Face Wash : 100 ml,Uncategorized,,,159.0,100 ml
Pilgrim 24K Gold Gel Face Wash : 80 ml,Uncategorized,,,395.0,80 ml
Mamaearth Charcoal Face Wash For Oil Control : 100 ml,Uncategorized,,,259.0,100 ml
WOW Skin Science Activated Charcoal Face Wash Tube : 100 ml,Uncategorized,,,259.0,100 ml
VLCC Serum Face Wash Salicylic Acid Serum & Neem : 100 ml,Uncategorized,,,165.0,100 ml
Lotus Herbals Neemwash Neem & Clove Face Wash : 120 gms,Uncategorized,,,235.0,120 g
L'Oreal Paris Glycolic Bright Daily Foaming Face Cleanser : 100 ml,Uncategorized,,,329.0,100 ml
Aqualogica Glow+ Smoothie Face Wash - Papaya & Vitamin C : 100 ml,Uncategorized,,,249.0,100 ml
Clean & Clear Morning Energy Lemon Face Wash : 150 ml,Uncategorized,,,260.0,150 ml
mCaffeine Coffee Foaming Face Wash : 75 ml,Uncategorized,,,229.0,75 ml
Plum Turmeric & White Clay Acne Action Face Wash : 100 ml,Uncategorized,,,249.0,100 ml
Himalaya Orange Face Wash : 100 ml,Uncategorized,,,149.0,100 ml
VLCC Insta Glow Diamond Bleach : 60 gms,Uncategorized,,,160.0,60 g
Himalaya Oil Clear Lemon Face Wash : 150 ml,Uncategorized,,,240.0,150 ml
Lotus Herbals Jojobawash Face Wash : 120 gms,Uncategorized,,,235.0,120 g
Dr. Rashel Vitamin C Face Wash : 100 ml,Uncategorized,,,199.0,100 ml
Neutrogena Deep Clean Gentle Foaming Cleanser : 100 g,Uncategorized,,,345.0,100 g
Aqualogica Radiance+ Face Wash - Watermelon & Niacinamide : 100 ml,Uncategorized,,,249.0,100 ml
Greenleaf Aloe Face Wash Gel With Turmeric & Tea Tree Oil : 50 gm,Uncategorized,,,65.0,50 g
Pond's Pure Detox Facewash : 50 gms,Uncategorized,,,115.0,50 g
Aqualogica Hydrate+ Face Wash - Coconut Water & Hyaluronic Acid : 100 ml,Uncategorized,,,249.0,100 ml
Nature's Essence Lacto Bleach : 48 gm,Uncategorized,,,100.0,48 g
Wow Anti-Acne Face Wash : 100 ml,Uncategorized,,,249.0,100 ml
Clensta Acne Control Face Wash Multani Mitti With 1% Salicylic Acid : 100 ml,Uncategorized,,,249.0,100 g
Clensta Red Aloe Vera Skin Glow Face Wash : 100 ml,Uncategorized,,,249.0,100 ml
Soulflower Vitamin C Green Tea Foaming Face Wash : 100 ml,Uncategorized,,,350.0,100 ml
Neutrogena Hydro Boost Water Gel Cleanser : 145 ml,Uncategorized,,,1050.0,145 ml
Pears Pure & Gentle Facewash : 60 gms,Uncategorized,,,160.0,60 g
Green Leaf Aloe Face Wash Gel : 120 gms,Uncategorized,,,130.0,120 g
Clean & Clear Foaming Face Wash : 50 ml,Uncategorized,,,95.0,50 ml
The Face Shop Foaming Cleanser Lemon & Grapefruit : 100 ml,Uncategorized,,,365.0,100 ml
Clensta Red Aloe Vera Oil Control Face Wash : 100 ml,Uncategorized,,,249.0,100 ml
Neutrogena Deep Clean Gentle Foaming Cleanser : 50 g,Uncategorized,,,185.0,50 g
Cetaphil Moisturising Lotion : 500ml,Uncategorized,,,1599.0,500 ml
