_id,name,category,subcategory,confidence
6785cc25f1b3c86bf83e292a,beatXP Gravity Prism Digital Weighing Scale (Blue),Fashion & Accessories,Women's Fashion,0.3
6785cc25f1b3c86bf83e292b,Solara Electric Kettle (1500 W),Electronics,Home Appliances,0.3173913043478261
6785cc25f1b3c86bf83e292c,Black + Decker Steam Iron 1600W (Red),Electronics,Home Appliances,0.3173913043478261
6785cc25f1b3c86bf83e292d,"Vega Insta Glam Hair Dryer (1000 W, VHDH-20)",Health & Beauty,Hair Care,0.5716453790664673
6785cc25f1b3c86bf83e292e,Prestige Pic 20.0 Induction Cooktop (Black),Electronics,Home Appliances,0.6173913043478261
6785cc25f1b3c86bf83e292f,Havells D'zire Dry Iron 1000 W (Mint),Electronics,Home Appliances,0.6173913043478261
6785cc25f1b3c86bf83e2930,Borosil Chef Delite 300-W Electric Chopper,Electronics,Home Appliances,0.6173913043478261
6785cc25f1b3c86bf83e2931,Black + Decker Cordless Steam Iron 2200W (Green),Electronics,Home Appliances,0.3173913043478261
6785cc25f1b3c86bf83e2932,"Philips 2-Slice Pop Up Toaster (830 W, White)",Electronics,Home Appliances,0.6173913043478261
6785cc25f1b3c86bf83e2933,Philips Multi Grooming 7 in 1 Trimmer Kit (White),Beauty & Personal Care,Makeup,0.40367481112480164
6785cc25f1b3c86bf83e2934,Borosil Chefdelite Electric Chopper 260W (White),Electronics,Home Appliances,0.6173913043478261
6785cc25f1b3c86bf83e2935,beatXP PulsePod Mini Handheld Vibration Massager for Head & Neck,Personal Care,Health & Wellness,0.38401558995246887
6785cc25f1b3c86bf83e2936,beatXP Blaze Electric Body Massager (Black),Personal Care,Health & Wellness,0.6266666666666667
6785cc25f1b3c86bf83e2937,beatXP Bolt Deep Tissue Massager Gun,Personal Care,Health & Wellness,0.37940508127212524
6785cc25f1b3c86bf83e2938,Agaro Electric Hot Water Bag Grey,Grocery & Food,Snacks & Beverages,0.3861932158470154
6785cc25f1b3c86bf83e2939,"Vega 3-In-1 Hair Styler (55 W, VHSCC-01)",Health & Beauty,Hair Care,0.30041298270225525
6785cc25f1b3c86bf83e293a,﻿Moi Soi Veg Hakka Noodles,Grocery & Food,Pantry Essentials,0.43076270818710327
6785cc25f1b3c86bf83e293b,﻿KLF Nirmal Virgin Cold Pressed Coconut Hair Oil,Health & Beauty,Hair Care,0.3910953998565674
6785cc25f1b3c86bf83e293c,Cheetos Flamin Hot Crunchy Crisps,Grocery & Food,Snacks & Beverages,0.43783891201019287
6785cc25f1b3c86bf83e293d,﻿101 Tales The Great Panchatantra Collection Of Witty Moral Stories,Fashion & Accessories,Women's Fashion,0.3
6785cc25f1b3c86bf83e293e,Crax Pasta Crunch Chinese Tadka Crisps,Grocery & Food,Pantry Essentials,0.4764556288719177
6785cc25f1b3c86bf83e293f,BRB Popped Potato Chips (Pasta Cheese Flavour) - Pack of 2,Grocery & Food,Snacks & Beverages,0.5256662368774414
6785cc25f1b3c86bf83e2940,﻿Kent Smart Chef Egg Boiler (360 W),Electronics,Home Appliances,0.6
6785cc25f1b3c86bf83e2941,﻿Amazon Lite Fire TV Stick with Alexa Voice Remote Lite,Smart Home,Smart Devices,0.3052184581756592
6785cc25f1b3c86bf83e2942,Yu 100% Whole Wheat Noodles,Grocery & Food,Pantry Essentials,0.47151440382003784
6785cc25f1b3c86bf83e2943,Mama Rice Instant Vermicelli Noodles,Grocery & Food,Pantry Essentials,0.5082319974899292
6785cc25f1b3c86bf83e2944,Lay's Maxx Sizzling Barbeque Potato Chips - Pack of 2,Grocery & Food,Snacks & Beverages,0.32989615201950073
6785cc25f1b3c86bf83e2945,RiteBite Max Protein Spanish Tomato Chips,Grocery & Food,Snacks & Beverages,0.4039260447025299
6785cc25f1b3c86bf83e2946,Manforce Epic Strawberry Flavoured Lubricant - Pack of 2,Health & Beauty,Health Care,0.3336729407310486
6785cc25f1b3c86bf83e2947,Bold Care Topical Delay Wipes ClockStopper for Men,Beauty & Personal Care,Skincare,0.3528147339820862
6785cc25f1b3c86bf83e2948,Skore Strawberry Dotted Condom - Pack of 3,Fashion & Accessories,Women's Fashion,0.3
6785cc25f1b3c86bf83e2949,Plush Love Glove Multi Textured Condom - Pack of 2,Automotive,Cars & Motorbike,0.384283185005188
6785cc25f1b3c86bf83e294a,"Open - 29th January, 2024",Party & Events,Event Planning,0.17001217603683472
6785cc25f1b3c86bf83e294b,"The Week India - January 28, 2024",Fashion & Accessories,Women's Fashion,0.3
6785cc25f1b3c86bf83e294c,Bingo Original Style Salt Potato Chips,Grocery & Food,Snacks & Beverages,0.5127195119857788
6785cc25f1b3c86bf83e294d,Pedigree Dog Starter Kit - Dog Food & Treats,Pet Supplies,Dog Supplies,0.5777140855789185
6785cc25f1b3c86bf83e294e,"The Caravan - January, 2024",Party & Events,Event Planning,0.1595570147037506
6785cc25f1b3c86bf83e294f,Beyond Snack Peri Peri Kerala Banana Chips,Grocery & Food,Snacks & Beverages,0.5622802972793579
6785cc25f1b3c86bf83e2950,Kwality Walls Feast Cadbury Crackle Frozen Dessert Stick,Grocery & Food,Snacks & Beverages,0.37945544719696045
6785cc25f1b3c86bf83e2951,Too Yumm Baked Potato Stix Crisps - Pack of 2,Grocery & Food,Snacks & Beverages,0.32601791620254517
6785cc25f1b3c86bf83e2952,4700BC Cheese & Herbs Popped Corn Chips + - Pack of 2,Grocery & Food,Snacks & Beverages,0.39827385544776917
6785cc25f1b3c86bf83e2953,Natureland Cold Pressed Organic Mustard Oil - Pack of 2,Garden & Outdoor,Gardening,0.3636508584022522
6785cc25f1b3c86bf83e2954,Toyshine Unbreakable Automobile Car Toy Vehicle (4 - 8 years),Toys & Games,Kids Toys,0.521007776260376
6785cc25f1b3c86bf83e2955,"Maggi Rich Tomato Sauce (No Onion, No Garlic)",Grocery & Food,Pantry Essentials,0.6222222222222222
6785cc25f1b3c86bf83e2956,Lift-The-Flap Very First Questions And Answers:Why Should I Brush My Teeth?,Fashion & Accessories,Women's Fashion,0.3
6785cc25f1b3c86bf83e2957,Lift-The-Flap Very First Q&A: What is Poo?,Fashion & Accessories,Women's Fashion,0.3
6785cc25f1b3c86bf83e2958,Baby Touch-Colours,Baby Products,Baby Care,0.3991193473339081
6785cc25f1b3c86bf83e2959,"Kid Who Came From Space, The",Fashion & Accessories,Women's Fashion,0.3
6785cc25f1b3c86bf83e295a,Room On The Broom,Home & Personal Care,Household Cleaning,0.5022097826004028
6785cc25f1b3c86bf83e295b,Baby Touch-Peekaboo,Baby Products,Baby Care,0.4313744008541107
6785cc25f1b3c86bf83e295c,"Unstoppable Us, Volume 1",Books & Media,Musical Instruments,0.22385111451148987
6785cc25f1b3c86bf83e295d,Peppa Pig- Sticker Activity,Toys & Games,Video Games,0.3071403503417969
6785cc25f1b3c86bf83e295e,Thea Stilton #05 Thea Stilton And The Mystery In Paris,Fashion & Accessories,Women's Fashion,0.3
6785cc25f1b3c86bf83e295f,Baby Touch-Vehicles,Baby Products,Baby Care,0.4595603942871094
6785cc25f1b3c86bf83e2960,Tiger Who Came To Tea,Fashion & Accessories,Women's Fashion,0.3
