_id,productId,sku,slug,title,category,subCategory,quantity.value,quantity.unit,pricing.mrp,pricing.salePrice,pricing.discount.percentage,pricing.discount.amount,searchKeywords[0],searchKeywords[1],searchKeywords[2],searchKeywords[3],searchKeywords[4],metadata.createdAt,metadata.updatedAt,metadata.isActive,metadata.inStock,apiEndpoint,apiQuery.byId,apiQuery.bySlug,apiQuery.byCategory,stock,_original_id
56431717,TOY-000000-78691a,toy000000,toysgames-amulspraymilkpowder1kg,Amul Spray Milk Powder : 1 kg,toys & games,kids toys,100,1,0.0,0.0,20,0.0,amul spray milk powder : 1 kg,toys & games,toy-000000-78691a,toysgames-amulspraymilkpowder1kg,toy000000,2025-01-14T15:47:21.244367,2025-01-14T15:47:21.244367,True,True,/api/products/toysgames-amulspraymilkpowder1kg,/api/products?productId=TOY-000000-78691a,/api/products?slug=toysgames-amulspraymilkpowder1kg,/api/products?category=toysgames,1,678639b19dd2db4b95fa54e7
1980628675,TOY-000001-ede401,toy000001,toysgames-adititoysminidoctorsetwithcaseassorted1unit,Aditi Toys Mini Doctor Set With Case - Assorted : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,aditi toys mini doctor set with case - assorted : 1 unit,toys & games,toy-000001-ede401,toysgames-adititoysminidoctorsetwithcaseassorted1unit,toy000001,2025-01-14T15:47:21.244367,2025-01-14T15:47:21.244367,True,True,/api/products/toysgames-adititoysminidoctorsetwithcaseassorted1unit,/api/products?productId=TOY-000001-ede401,/api/products?slug=toysgames-adititoysminidoctorsetwithcaseassorted1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54e8
4036972555,TOY-000002-e74b0d,toy000002,toysgames-toyshinejuniorfastslinghockeypuckboardgamemulticolour1unit,Toyshine Junior Fast Sling Hockey Puck Board Game - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine junior fast sling hockey puck board game - multicolour : 1 unit,toys & games,toy-000002-e74b0d,toysgames-toyshinejuniorfastslinghockeypuckboardgamemulticolour1unit,toy000002,2025-01-14T15:47:21.245365,2025-01-14T15:47:21.245365,True,True,/api/products/toysgames-toyshinejuniorfastslinghockeypuckboardgamemulticolour1unit,/api/products?productId=TOY-000002-e74b0d,/api/products?slug=toysgames-toyshinejuniorfastslinghockeypuckboardgamemulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54e9
825567557,TOY-000003-62385b,toy000003,toysgames-toyshineprojectionflashlighttorchforkids3slidesmulticolour1unit,Toyshine Projection Flashlight Torch For Kids 3 Slides - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine projection flashlight torch for kids 3 slides - multicolour : 1 unit,toys & games,toy-000003-62385b,toysgames-toyshineprojectionflashlighttorchforkids3slidesmulticolour1unit,toy000003,2025-01-14T15:47:21.245365,2025-01-14T15:47:21.245365,True,True,/api/products/toysgames-toyshineprojectionflashlighttorchforkids3slidesmulticolour1unit,/api/products?productId=TOY-000003-62385b,/api/products?slug=toysgames-toyshineprojectionflashlighttorchforkids3slidesmulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54ea
413309677,TOY-000004-654ef2,toy000004,toysgames-toyshine2in1ringtossgamesmulticolour1unit,Toyshine 2 In 1 Ring Toss Games - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine 2 in 1 ring toss games - multicolour : 1 unit,toys & games,toy-000004-654ef2,toysgames-toyshine2in1ringtossgamesmulticolour1unit,toy000004,2025-01-14T15:47:21.246365,2025-01-14T15:47:21.246365,True,True,/api/products/toysgames-toyshine2in1ringtossgamesmulticolour1unit,/api/products?productId=TOY-000004-654ef2,/api/products?slug=toysgames-toyshine2in1ringtossgamesmulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54eb
2419718381,TOY-000005-1b41dd,toy000005,toysgames-toyshinerollingflippingcarrampracingmulticolour1unit,Toyshine Rolling & Flipping Car Ramp Racing - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine rolling & flipping car ramp racing - multicolour : 1 unit,toys & games,toy-000005-1b41dd,toysgames-toyshinerollingflippingcarrampracingmulticolour1unit,toy000005,2025-01-14T15:47:21.246365,2025-01-14T15:47:21.246365,True,True,/api/products/toysgames-toyshinerollingflippingcarrampracingmulticolour1unit,/api/products?productId=TOY-000005-1b41dd,/api/products?slug=toysgames-toyshinerollingflippingcarrampracingmulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54ec
2772261141,TOY-000006-ae0ae6,toy000006,toysgames-toyshineeducational85inchlcdwritingtabletboardmulticolour1unit,Toyshine Educational 8.5 Inch LCD Writing Tablet Board - Multicolour : 1Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine educational 8.5 inch lcd writing tablet board - multicolour : 1unit,toys & games,toy-000006-ae0ae6,toysgames-toyshineeducational85inchlcdwritingtabletboardmulticolour1unit,toy000006,2025-01-14T15:47:21.246365,2025-01-14T15:47:21.246365,True,True,/api/products/toysgames-toyshineeducational85inchlcdwritingtabletboardmulticolour1unit,/api/products?productId=TOY-000006-ae0ae6,/api/products?slug=toysgames-toyshineeducational85inchlcdwritingtabletboardmulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54ed
2147773634,TOY-000007-52923f,toy000007,toysgames-toyshinewoodenanglegeometricblockpuzzlesetmulticolour1unit,Toyshine Wooden Angle Geometric Block Puzzle Set - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine wooden angle geometric block puzzle set - multicolour : 1 unit,toys & games,toy-000007-52923f,toysgames-toyshinewoodenanglegeometricblockpuzzlesetmulticolour1unit,toy000007,2025-01-14T15:47:21.246365,2025-01-14T15:47:21.246365,True,True,/api/products/toysgames-toyshinewoodenanglegeometricblockpuzzlesetmulticolour1unit,/api/products?productId=TOY-000007-52923f,/api/products?slug=toysgames-toyshinewoodenanglegeometricblockpuzzlesetmulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54ee
2705189714,TOY-000008-586640,toy000008,toysgames-toyshinecartoonwildanimalsmulticolourpackof12,Toyshine Cartoon Wild Animals - Multicolour : Pack Of 12,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine cartoon wild animals - multicolour : pack of 12,toys & games,toy-000008-586640,toysgames-toyshinecartoonwildanimalsmulticolourpackof12,toy000008,2025-01-14T15:47:21.247381,2025-01-14T15:47:21.247381,True,True,/api/products/toysgames-toyshinecartoonwildanimalsmulticolourpackof12,/api/products?productId=TOY-000008-586640,/api/products?slug=toysgames-toyshinecartoonwildanimalsmulticolourpackof12,/api/products?category=toysgames,1,678639b19dd2db4b95fa54ef
2357260979,TOY-000009-9d1065,toy000009,toysgames-toyshinekidsappleshapekidscomputertabletmulticolour1unit,Toyshine Kids Apple Shape Kids Computer Tablet - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine kids apple shape kids computer tablet - multicolour : 1 unit,toys & games,toy-000009-9d1065,toysgames-toyshinekidsappleshapekidscomputertabletmulticolour1unit,toy000009,2025-01-14T15:47:21.247381,2025-01-14T15:47:21.247381,True,True,/api/products/toysgames-toyshinekidsappleshapekidscomputertabletmulticolour1unit,/api/products?productId=TOY-000009-9d1065,/api/products?slug=toysgames-toyshinekidsappleshapekidscomputertabletmulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54f0
3416685729,TOY-000010-f8559c,toy000010,toysgames-toyshinecreativesandforkidwith12playmoldsnatural1kg,Toyshine Creative Sand For Kid With 12 Play Molds - Natural : 1 Kg,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine creative sand for kid with 12 play molds - natural : 1 kg,toys & games,toy-000010-f8559c,toysgames-toyshinecreativesandforkidwith12playmoldsnatural1kg,toy000010,2025-01-14T15:47:21.247381,2025-01-14T15:47:21.247381,True,True,/api/products/toysgames-toyshinecreativesandforkidwith12playmoldsnatural1kg,/api/products?productId=TOY-000010-f8559c,/api/products?slug=toysgames-toyshinecreativesandforkidwith12playmoldsnatural1kg,/api/products?category=toysgames,1,678639b19dd2db4b95fa54f1
433291635,TOY-000011-5e2ee2,toy000011,toysgames-toyshineplastickitchencookingsettoysyellow1unit,Toyshine Plastic Kitchen Cooking Set Toys - Yellow : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine plastic kitchen cooking set toys - yellow : 1 unit,toys & games,toy-000011-5e2ee2,toysgames-toyshineplastickitchencookingsettoysyellow1unit,toy000011,2025-01-14T15:47:21.247381,2025-01-14T15:47:21.247381,True,True,/api/products/toysgames-toyshineplastickitchencookingsettoysyellow1unit,/api/products?productId=TOY-000011-5e2ee2,/api/products?slug=toysgames-toyshineplastickitchencookingsettoysyellow1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54f2
3593495832,TOY-000012-8c9ef0,toy000012,toysgames-toyshinemonstertrucktoyforkidsmulticolourpackof4,Toyshine Monster Truck Toy For Kids -Multicolour : Pack Of 4,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine monster truck toy for kids -multicolour : pack of 4,toys & games,toy-000012-8c9ef0,toysgames-toyshinemonstertrucktoyforkidsmulticolourpackof4,toy000012,2025-01-14T15:47:21.247381,2025-01-14T15:47:21.247381,True,True,/api/products/toysgames-toyshinemonstertrucktoyforkidsmulticolourpackof4,/api/products?productId=TOY-000012-8c9ef0,/api/products?slug=toysgames-toyshinemonstertrucktoyforkidsmulticolourpackof4,/api/products?category=toysgames,1,678639b19dd2db4b95fa54f3
2934634580,TOY-000013-aa6467,toy000013,toysgames-toyshinetalkingtomcattoyforkidsgrey1unit,Toyshine Talking Tom Cat Toy For Kids - Grey : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine talking tom cat toy for kids - grey : 1 unit,toys & games,toy-000013-aa6467,toysgames-toyshinetalkingtomcattoyforkidsgrey1unit,toy000013,2025-01-14T15:47:21.247381,2025-01-14T15:47:21.247381,True,True,/api/products/toysgames-toyshinetalkingtomcattoyforkidsgrey1unit,/api/products?productId=TOY-000013-aa6467,/api/products?slug=toysgames-toyshinetalkingtomcattoyforkidsgrey1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54f4
255539722,TOY-000014-a25ad6,toy000014,toysgames-toyshinekidsfrictionpoweredcarmulticolourpackof4,Toyshine Kids Friction Powered Car - Multicolour : Pack of 4,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine kids friction powered car - multicolour : pack of 4,toys & games,toy-000014-a25ad6,toysgames-toyshinekidsfrictionpoweredcarmulticolourpackof4,toy000014,2025-01-14T15:47:21.248370,2025-01-14T15:47:21.248370,True,True,/api/products/toysgames-toyshinekidsfrictionpoweredcarmulticolourpackof4,/api/products?productId=TOY-000014-a25ad6,/api/products?slug=toysgames-toyshinekidsfrictionpoweredcarmulticolourpackof4,/api/products?category=toysgames,1,678639b19dd2db4b95fa54f5
4242242497,TOY-000015-1bcc5d,toy000015,toysgames-toyshinewooden12colourdominosblockskidsgamemulticolour1unit,Toyshine Wooden 12 Colour Dominos Blocks Kids Game - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine wooden 12 colour dominos blocks kids game - multicolour : 1 unit,toys & games,toy-000015-1bcc5d,toysgames-toyshinewooden12colourdominosblockskidsgamemulticolour1unit,toy000015,2025-01-14T15:47:21.248370,2025-01-14T15:47:21.248370,True,True,/api/products/toysgames-toyshinewooden12colourdominosblockskidsgamemulticolour1unit,/api/products?productId=TOY-000015-1bcc5d,/api/products?slug=toysgames-toyshinewooden12colourdominosblockskidsgamemulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54f6
2721430180,TOY-000016-df586c,toy000016,toysgames-toyshinefrictionrockcrawlerminicarmulticolour1unit,Toyshine Friction Rock Crawler Mini Car - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine friction rock crawler mini car - multicolour : 1 unit,toys & games,toy-000016-df586c,toysgames-toyshinefrictionrockcrawlerminicarmulticolour1unit,toy000016,2025-01-14T15:47:21.248370,2025-01-14T15:47:21.248370,True,True,/api/products/toysgames-toyshinefrictionrockcrawlerminicarmulticolour1unit,/api/products?productId=TOY-000016-df586c,/api/products?slug=toysgames-toyshinefrictionrockcrawlerminicarmulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54f7
907241530,TOY-000017-14a3d9,toy000017,toysgames-adititoysminibeautysetwithcaseassorted1unit,Aditi Toys Mini Beauty Set With Case - Assorted : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,aditi toys mini beauty set with case - assorted : 1 unit,toys & games,toy-000017-14a3d9,toysgames-adititoysminibeautysetwithcaseassorted1unit,toy000017,2025-01-14T15:47:21.248370,2025-01-14T15:47:21.248370,True,True,/api/products/toysgames-adititoysminibeautysetwithcaseassorted1unit,/api/products?productId=TOY-000017-14a3d9,/api/products?slug=toysgames-adititoysminibeautysetwithcaseassorted1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54f8
452590513,TOY-000018-1de7da,toy000018,toysgames-toyshine2in1babypianoxylophonetoyfortoddlersmulticolour1unit,Toyshine 2 in 1 Baby Piano Xylophone Toy for Toddlers - Multicolour : 1Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine 2 in 1 baby piano xylophone toy for toddlers - multicolour : 1unit,toys & games,toy-000018-1de7da,toysgames-toyshine2in1babypianoxylophonetoyfortoddlersmulticolour1unit,toy000018,2025-01-14T15:47:21.248370,2025-01-14T15:47:21.248370,True,True,/api/products/toysgames-toyshine2in1babypianoxylophonetoyfortoddlersmulticolour1unit,/api/products?productId=TOY-000018-1de7da,/api/products?slug=toysgames-toyshine2in1babypianoxylophonetoyfortoddlersmulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54f9
282439328,TOY-000019-90a066,toy000019,toysgames-bokaibadmintonracketset2pieces,Bokai Badminton Racket Set : 2 Pieces,toys & games,kids toys,100,1,0.0,0.0,20,0.0,bokai badminton racket set : 2 pieces,toys & games,toy-000019-90a066,toysgames-bokaibadmintonracketset2pieces,toy000019,2025-01-14T15:47:21.248370,2025-01-14T15:47:21.248370,True,True,/api/products/toysgames-bokaibadmintonracketset2pieces,/api/products?productId=TOY-000019-90a066,/api/products?slug=toysgames-bokaibadmintonracketset2pieces,/api/products?category=toysgames,1,678639b19dd2db4b95fa54fa
2819309008,TOY-000020-76cd23,toy000020,toysgames-toyshineconceptmusical3dlightstransparentcarmulticolour1unit,Toyshine Concept Musical & 3D Lights Transparent Car - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine concept musical & 3d lights transparent car - multicolour : 1 unit,toys & games,toy-000020-76cd23,toysgames-toyshineconceptmusical3dlightstransparentcarmulticolour1unit,toy000020,2025-01-14T15:47:21.248370,2025-01-14T15:47:21.248370,True,True,/api/products/toysgames-toyshineconceptmusical3dlightstransparentcarmulticolour1unit,/api/products?productId=TOY-000020-76cd23,/api/products?slug=toysgames-toyshineconceptmusical3dlightstransparentcarmulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54fb
2425958015,TOY-000021-3abd96,toy000021,toysgames-toyshinegizmofoamblasterguntoy20bulletsmulticolour1unit,Toyshine Gizmo Foam Blaster Gun Toy 20 Bullets - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine gizmo foam blaster gun toy 20 bullets - multicolour : 1 unit,toys & games,toy-000021-3abd96,toysgames-toyshinegizmofoamblasterguntoy20bulletsmulticolour1unit,toy000021,2025-01-14T15:47:21.249368,2025-01-14T15:47:21.249368,True,True,/api/products/toysgames-toyshinegizmofoamblasterguntoy20bulletsmulticolour1unit,/api/products?productId=TOY-000021-3abd96,/api/products?slug=toysgames-toyshinegizmofoamblasterguntoy20bulletsmulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54fc
347678787,TOY-000022-6709ce,toy000022,toysgames-tabletennisracketset1unit,Table Tennis Racket Set : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,table tennis racket set : 1 unit,toys & games,toy-000022-6709ce,toysgames-tabletennisracketset1unit,toy000022,2025-01-14T15:47:21.249368,2025-01-14T15:47:21.249368,True,True,/api/products/toysgames-tabletennisracketset1unit,/api/products?productId=TOY-000022-6709ce,/api/products?slug=toysgames-tabletennisracketset1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54fd
1112315925,TOY-000023-e7749d,toy000023,toysgames-toyshinekidsshapesorterbabytoymulticolour1unit,Toyshine Kids Shape Sorter Baby Toy - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine kids shape sorter baby toy - multicolour : 1 unit,toys & games,toy-000023-e7749d,toysgames-toyshinekidsshapesorterbabytoymulticolour1unit,toy000023,2025-01-14T15:47:21.249368,2025-01-14T15:47:21.249368,True,True,/api/products/toysgames-toyshinekidsshapesorterbabytoymulticolour1unit,/api/products?productId=TOY-000023-e7749d,/api/products?slug=toysgames-toyshinekidsshapesorterbabytoymulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54fe
3265224847,TOY-000024-c76e74,toy000024,toysgames-parksonssnakeladderludo2in1boardgame1unit,Parksons Snake & Ladder & Ludo 2 In 1 Board Game: 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,parksons snake & ladder & ludo 2 in 1 board game: 1 unit,toys & games,toy-000024-c76e74,toysgames-parksonssnakeladderludo2in1boardgame1unit,toy000024,2025-01-14T15:47:21.249368,2025-01-14T15:47:21.249368,True,True,/api/products/toysgames-parksonssnakeladderludo2in1boardgame1unit,/api/products?productId=TOY-000024-c76e74,/api/products?slug=toysgames-parksonssnakeladderludo2in1boardgame1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa54ff
2067567434,TOY-000025-8c6851,toy000025,toysgames-adititoysfruitsetof7piecesmulticolor1unit,Aditi Toys Fruit Set of 7 pieces - Multicolor : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,aditi toys fruit set of 7 pieces - multicolor : 1 unit,toys & games,toy-000025-8c6851,toysgames-adititoysfruitsetof7piecesmulticolor1unit,toy000025,2025-01-14T15:47:21.249368,2025-01-14T15:47:21.249368,True,True,/api/products/toysgames-adititoysfruitsetof7piecesmulticolor1unit,/api/products?productId=TOY-000025-8c6851,/api/products?slug=toysgames-adititoysfruitsetof7piecesmulticolor1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa5500
3083792339,TOY-000026-866b87,toy000026,toysgames-toyshineplasticarcherybowandarrowsforkidsred1unit,Toyshine Plastic Archery Bow and Arrows For Kids - Red  : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine plastic archery bow and arrows for kids - red  : 1 unit,toys & games,toy-000026-866b87,toysgames-toyshineplasticarcherybowandarrowsforkidsred1unit,toy000026,2025-01-14T15:47:21.249368,2025-01-14T15:47:21.249368,True,True,/api/products/toysgames-toyshineplasticarcherybowandarrowsforkidsred1unit,/api/products?productId=TOY-000026-866b87,/api/products?slug=toysgames-toyshineplasticarcherybowandarrowsforkidsred1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa5501
1062190819,TOY-000027-046b68,toy000027,toysgames-parksonshousieboardgame1unit,Parksons Housie Board Game: 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,parksons housie board game: 1 unit,toys & games,toy-000027-046b68,toysgames-parksonshousieboardgame1unit,toy000027,2025-01-14T15:47:21.249368,2025-01-14T15:47:21.249368,True,True,/api/products/toysgames-parksonshousieboardgame1unit,/api/products?productId=TOY-000027-046b68,/api/products?slug=toysgames-parksonshousieboardgame1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa5502
3326774811,TOY-000028-44a5c8,toy000028,toysgames-toyshinehighstabilitycubemulticolour1unit,Toyshine High Stability Cube -  Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine high stability cube -  multicolour : 1 unit,toys & games,toy-000028-44a5c8,toysgames-toyshinehighstabilitycubemulticolour1unit,toy000028,2025-01-14T15:47:21.249368,2025-01-14T15:47:21.249368,True,True,/api/products/toysgames-toyshinehighstabilitycubemulticolour1unit,/api/products?productId=TOY-000028-44a5c8,/api/products?slug=toysgames-toyshinehighstabilitycubemulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa5503
4055725434,TOY-000029-853391,toy000029,toysgames-dsportsbasketballorangesize71unit,DSports Basketball - Orange (Size 7) : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,dsports basketball - orange (size 7) : 1 unit,toys & games,toy-000029-853391,toysgames-dsportsbasketballorangesize71unit,toy000029,2025-01-14T15:47:21.250367,2025-01-14T15:47:21.250367,True,True,/api/products/toysgames-dsportsbasketballorangesize71unit,/api/products?productId=TOY-000029-853391,/api/products?slug=toysgames-dsportsbasketballorangesize71unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa5504
1600041944,TOY-000030-15e34e,toy000030,toysgames-toyshinekidsdoctorsetblue1unit,Toyshine Kids Doctor Set - Blue : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine kids doctor set - blue : 1 unit,toys & games,toy-000030-15e34e,toysgames-toyshinekidsdoctorsetblue1unit,toy000030,2025-01-14T15:47:21.250367,2025-01-14T15:47:21.250367,True,True,/api/products/toysgames-toyshinekidsdoctorsetblue1unit,/api/products?productId=TOY-000030-15e34e,/api/products?slug=toysgames-toyshinekidsdoctorsetblue1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa5505
3126709316,TOY-000031-98d312,toy000031,toysgames-parksonschessboardgame1unit,Parksons Chess Board Game: 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,parksons chess board game: 1 unit,toys & games,toy-000031-98d312,toysgames-parksonschessboardgame1unit,toy000031,2025-01-14T15:47:21.250367,2025-01-14T15:47:21.250367,True,True,/api/products/toysgames-parksonschessboardgame1unit,/api/products?productId=TOY-000031-98d312,/api/products?slug=toysgames-parksonschessboardgame1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa5506
910354202,TOY-000032-31a3f0,toy000032,toysgames-toyshinesunshapedrumkeyboardmusicaltoymulticolour1unit,Toyshine Sun Shape Drum Keyboard Musical Toy - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine sun shape drum keyboard musical toy - multicolour : 1 unit,toys & games,toy-000032-31a3f0,toysgames-toyshinesunshapedrumkeyboardmusicaltoymulticolour1unit,toy000032,2025-01-14T15:47:21.250367,2025-01-14T15:47:21.250367,True,True,/api/products/toysgames-toyshinesunshapedrumkeyboardmusicaltoymulticolour1unit,/api/products?productId=TOY-000032-31a3f0,/api/products?slug=toysgames-toyshinesunshapedrumkeyboardmusicaltoymulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa5507
2475735941,TOY-000033-b536f0,toy000033,toysgames-toyshinefoamblastergunforkidsmulticolour1unit,Toyshine Foam Blaster Gun For Kids - Multicolour : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine foam blaster gun for kids - multicolour : 1 unit,toys & games,toy-000033-b536f0,toysgames-toyshinefoamblastergunforkidsmulticolour1unit,toy000033,2025-01-14T15:47:21.250367,2025-01-14T15:47:21.250367,True,True,/api/products/toysgames-toyshinefoamblastergunforkidsmulticolour1unit,/api/products?productId=TOY-000033-b536f0,/api/products?slug=toysgames-toyshinefoamblastergunforkidsmulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa5508
1320354342,TOY-000034-0a89cd,toy000034,toysgames-funskoolgigglesarmyjeeptoy1unit,Funskool Giggles Army Jeep Toy : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,funskool giggles army jeep toy : 1 unit,toys & games,toy-000034-0a89cd,toysgames-funskoolgigglesarmyjeeptoy1unit,toy000034,2025-01-14T15:47:21.250367,2025-01-14T15:47:21.250367,True,True,/api/products/toysgames-funskoolgigglesarmyjeeptoy1unit,/api/products?productId=TOY-000034-0a89cd,/api/products?slug=toysgames-funskoolgigglesarmyjeeptoy1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa5509
215849784,TOY-000035-e0140e,toy000035,toysgames-parksonsplasticplayingcardsblackboxpremium1unit,Parksons Plastic Playing Cards Black Box Premium: 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,parksons plastic playing cards black box premium: 1 unit,toys & games,toy-000035-e0140e,toysgames-parksonsplasticplayingcardsblackboxpremium1unit,toy000035,2025-01-14T15:47:21.250367,2025-01-14T15:47:21.250367,True,True,/api/products/toysgames-parksonsplasticplayingcardsblackboxpremium1unit,/api/products?productId=TOY-000035-e0140e,/api/products?slug=toysgames-parksonsplasticplayingcardsblackboxpremium1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa550a
4263996503,TOY-000036-244b56,toy000036,toysgames-toyshinerattlesetwithteathersfornewbornbabiesmulticolour1unit,Toyshine Rattle Set With Teathers For Newborn Babies - Multicolour : 1Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,toyshine rattle set with teathers for newborn babies - multicolour : 1unit,toys & games,toy-000036-244b56,toysgames-toyshinerattlesetwithteathersfornewbornbabiesmulticolour1unit,toy000036,2025-01-14T15:47:21.250367,2025-01-14T15:47:21.250367,True,True,/api/products/toysgames-toyshinerattlesetwithteathersfornewbornbabiesmulticolour1unit,/api/products?productId=TOY-000036-244b56,/api/products?slug=toysgames-toyshinerattlesetwithteathersfornewbornbabiesmulticolour1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa550b
2050294131,TOY-000037-350138,toy000037,toysgames-footballkickoffsize5assorted1unit,Football Kick-Off (Size 5) - Assorted : 1 Unit,toys & games,kids toys,100,1,0.0,0.0,20,0.0,football kick-off (size 5) - assorted : 1 unit,toys & games,toy-000037-350138,toysgames-footballkickoffsize5assorted1unit,toy000037,2025-01-14T15:47:21.251369,2025-01-14T15:47:21.251369,True,True,/api/products/toysgames-footballkickoffsize5assorted1unit,/api/products?productId=TOY-000037-350138,/api/products?slug=toysgames-footballkickoffsize5assorted1unit,/api/products?category=toysgames,1,678639b19dd2db4b95fa550c
