name,mrp,our_price,category,subcategory,unit,discount,quantity,unit_price,product_url,sub-category,image,status,stock_count,is_dmart_exclusive,productid,brand,imageurl,isavailable,createdat,updatedat,details,processed_name,predicted_category,predicted_subcategory
Skyn Intense Feel Non-Latex Condom (3 Pieces),"₹ 2,500","₹ 2,025",,,,,,,,,,,,,,,,,,,,skyn intense feel non-latex condom (3 pieces),Uncategorized,Uncategorized
Plush Love Glove Super Dotted Condom + Plush Strawberry Flavoured Lubricant (for Men & Women) Combo,"₹ 1,349","₹ 1,059",,,,,,,,,,,,,,,,,,,,plush love glove super dotted condom + plush strawberry flavoured lubricant (for men & women) combo,Fashion & Accessories,Clothing
Plush Intimate Wipes for Women + Plush Ginseng Flavoured Lubricant (for Men & Women) Combo,₹ 446,₹ 388,,,,,,,,,,,,,,,,,,,3 units + 3 units + 3 units,plush intimate wipes for women + plush ginseng flavoured lubricant (for men & women) combo,Fashion & Accessories,Clothing
Plush Biodegradable Disposal Bag + Plush Love Glove Super Dotted Condom Combo,₹ 599,₹ 420,,,,,,,,,,,,,,,,,,,1 pack,plush biodegradable disposal bag + plush love glove super dotted condom combo,Fashion & Accessories,Bags & Accessories
Plush Ginseng Flavoured Lubricant (for Men & Women) + Plush Love Glove Multi Textured Condom Combo,"₹ 1,075",₹ 774,,,,,,,,,,,,,,,,,,,10 units + 50 ml,plush ginseng flavoured lubricant (for men & women) + plush love glove multi textured condom combo,Fashion & Accessories,Clothing
Plush Ginseng Flavoured Lubricant (for Men & Women) + Plush Love Glove Super Dotted Condom Combo,₹ 675,₹ 486,,,,,,,,,,,,,,,,,,,10 units + 50 ml,plush ginseng flavoured lubricant (for men & women) + plush love glove super dotted condom combo,Fashion & Accessories,Clothing
Plush Intimate Wipes for Women + Love Glove Multi Textured Condom Combo,,₹ 269,,,,,,,,,,,,,,,,,,,10 units,plush intimate wipes for women + love glove multi textured condom combo,Fashion & Accessories,Clothing
Plush Intimate Wipes for Women + Love Glove Super Dotted Condom Combo,₹ 240,₹ 180,,,,,,,,,,,,,,,,,,,10 units,plush intimate wipes for women + love glove super dotted condom combo,Fashion & Accessories,Clothing
Skyn Extra Lubricated Non-Latex Condom,₹ 200,₹ 150,,,,,,,,,,,,,,,,,,,10 units,skyn extra lubricated non-latex condom,Uncategorized,Uncategorized
Wembley Remote Control Monster Truck Toy Vehicle (5 - 7 years),₹ 230,₹ 196,,,,,,,,,,,,,,,,,,,3 units + 3 units + 3 units,wembley remote control monster truck toy vehicle (5 - 7 years),Uncategorized,Uncategorized
Centy Toys CNG Auto Rickshaw Toy Vehicle (3+ years),"₹ 1,009",₹ 726,,,,,,,,,,,,,,,,,,,10 units + 50 ml,centy toys cng auto rickshaw toy vehicle (3+ years),Uncategorized,Uncategorized
Toyshine Foam Blaster Safe and Long Range Toy Gun with 10 Bullets (4 - 8 years),₹ 240,₹ 180,,,,,,,,,,,,,,,,,,,10 units,toyshine foam blaster safe and long range toy gun with 10 bullets (4 - 8 years),Uncategorized,Uncategorized
Centy Toys Metro Train Toy Vehicle (3+ years),₹ 240,₹ 180,,,,,,,,,,,,,,,,,,,10 units,centy toys metro train toy vehicle (3+ years),Uncategorized,Uncategorized
Centy Toys Ambassador VIP Car Toy Vehicle (Door Openable) (3+ years),₹ 340,₹ 255,,,,,,,,,,,,,,,,,,,20 units,centy toys ambassador vip car toy vehicle (door openable) (3+ years),Uncategorized,Uncategorized
Centy Toys Trailblaster Toy Vehicle (3+ years),₹ 399,₹ 300,,,,,,,,,,,,,,,,,,,,centy toys trailblaster toy vehicle (3+ years),Uncategorized,Uncategorized
"Nerf Alpha Strike Stinger SD-1 Blaster Toy Gun (Orange & Yellow, 8 + years)",₹ 740,₹ 508,,,,,,,,,,,,,,,,,,,10 units + 60 ml,"nerf alpha strike stinger sd-1 blaster toy gun (orange & yellow, 8 + years)",Uncategorized,Uncategorized
Toyshine Super Hero Cartoon Papier Mache Mask (3+ years),₹ 578,₹ 434,,,,,,,,,,,,,,,,,,,10 units + 1 pack (50 pieces),toyshine super hero cartoon papier mache mask (3+ years),Uncategorized,Uncategorized
Nerf Alpha Strike Fang Qs 4 Toy Gun (8+ Years),₹ 848,₹ 636,,,,,,,,,,,,,,,,,,,50 ml + 10 units,nerf alpha strike fang qs 4 toy gun (8+ years),Uncategorized,Uncategorized
Webby Toys Blaze Toy Gun (4 - 6 Years),₹ 349,₹ 280,,,,,,,,,,,,,,,,,,,50 ml,webby toys blaze toy gun (4 - 6 years),Uncategorized,Uncategorized
Toyshine Bump and Go Action Airplane Toy Vehicle with LED Flashing Lights and Sounds (2 - 4 years),,₹ 799,,,,,,,,,,,,,,,,,,,100 ml,toyshine bump and go action airplane toy vehicle with led flashing lights and sounds (2 - 4 years),Electronics,Lighting & Electrical
"Toyshine Bazooka Bubble Toy Gun (Blue, 3 - 8 years)",₹ 848,₹ 636,,,,,,,,,,,,,,,,,,,50 ml + 10 units,"toyshine bazooka bubble toy gun (blue, 3 - 8 years)",Uncategorized,Uncategorized
